record_id,recruitment_cycle,exam_level,category,field,value,unit,official_notification,notification_date,age_cutoff,source_status
1,ADRE 2.0,Grade III,All,Vacancies,7600,posts,SLRC-G-III/91/Advertisement/2023/2,2023-10-30,,Official
2,ADRE 2.0,Grade III,Degree,Vacancies,4055,posts,SLRC-G-III/91/Advertisement/2023/2,2023-10-30,,Official
3,ADRE 2.0,Grade III,HSSLC,Vacancies,3127,posts,SLRC-G-III/91/Advertisement/2023/2,2023-10-30,,Official
4,ADRE 2.0,Grade III,HSLC Driver,Vacancies,418,posts,SLRC-G-III/91/Advertisement/2023/2,2023-10-30,,Official
5,ADRE 2.0,Grade III,All,Minimum Age,18,years,SLRC-G-III/91/Advertisement/2023/2,2023-10-30,2023-01-01,Official
6,ADRE 2.0,Grade III,All,Base Maximum Age,40,years,SLRC-G-III/91/Advertisement/2023/2,2023-10-30,2023-01-01,Official
7,ADRE 2.0,Grade III,SC/ST,Upper Age Relaxation,5,years,SLRC-G-III/91/Advertisement/2023/2,2023-10-30,2023-01-01,Official
8,ADRE 2.0,Grade III,OBC/MOBC,Upper Age Relaxation,3,years,SLRC-G-III/91/Advertisement/2023/2,2023-10-30,2023-01-01,Official
9,ADRE 2.0,Grade III,Ex-Servicemen,Upper Age Relaxation,2,years,SLRC-G-III/91/Advertisement/2023/2,2023-10-30,2023-01-01,Official
10,ADRE 2.0,Grade III,PwBD,Upper Age Relaxation,10,years,SLRC-G-III/91/Advertisement/2023/2,2023-10-30,2023-01-01,Official
11,ADRE 2.0,Grade III,All,Employment Exchange Registration,Required,requirement,SLRC-G-III/91/Advertisement/2023/2,2023-10-30,,Official
12,ADRE 2.0,Grade III,All,Application Fee,0,INR,SLRC-G-III/91/Advertisement/2023/2,2023-10-30,,Official
13,ADRE 2.0,Grade III,Degree,Questions,150,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
14,ADRE 2.0,Grade III,Degree,Total Marks,175,marks,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
15,ADRE 2.0,Grade III,Degree,Duration,3,hours,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
16,ADRE 2.0,Grade III,Degree,Social Studies,30,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
17,ADRE 2.0,Grade III,Degree,General Knowledge,35,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
18,ADRE 2.0,Grade III,Degree,Logical Reasoning and Mental Ability,20,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
19,ADRE 2.0,Grade III,Degree,General Mathematics,30,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
20,ADRE 2.0,Grade III,Degree,General English,10,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
21,ADRE 2.0,Grade III,Degree,Reading Comprehension and English Language,25,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
22,ADRE 2.0,Grade III,Degree,Reading Comprehension and English Language Marks,2,marks/question,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
23,ADRE 2.0,Grade III,HSSLC,Questions,150,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
24,ADRE 2.0,Grade III,HSSLC,Total Marks,150,marks,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
25,ADRE 2.0,Grade III,HSSLC,Duration,3,hours,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
26,ADRE 2.0,Grade III,HSSLC,Social Studies,30,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
27,ADRE 2.0,Grade III,HSSLC,General Knowledge,30,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
28,ADRE 2.0,Grade III,HSSLC,Logical Reasoning and Mental Ability,20,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
29,ADRE 2.0,Grade III,HSSLC,General English,35,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
30,ADRE 2.0,Grade III,HSSLC,General Mathematics,35,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
31,ADRE 2.0,Grade III,HSLC Driver,Questions,150,questions,SLRC-G-III/91/Advertisement/2023/11,2024-07-15,,Official
