question_text,Option A,Option B,Option C,Option D,correct_option,explanation,subject,topic / subtopic tag
1. ২০২৪ চনৰ ১ জানুৱাৰী অনুসৰি অসম বিধানসভাৰ অধ্যক্ষ কোন?,Hitendra Nath Goswami,Numal Momin,Biswajit Daimary,Rupsing Teron,C,The correct answer is Biswajit Daimary (option C). The question directly tests the stated assam gk concept; the remaining options do not satisfy the condition given in the question.,Assam GK,Assam Legislature
2. তলৰ কোনটো ব্যৱহাৰ কৰি নগদ ধন উলিয়াব পাৰি?,ATM,NEFT,UPI,IFSC,A,The correct answer is ATM (option A). The question directly tests the stated general knowledge concept; the remaining options do not satisfy the condition given in the question.,General Knowledge,Banking basics
3. অফিচৰ পৰা যাত্ৰী উঠোৱাৰ পিছত টেক্সি চালকে পোষ্ট অফিচত বাওঁফালে ঘূৰাৰ আগতে ৬ কিলোমিটাৰ আৰু তাৰ পিছত বিমানবন্দৰলৈ ৮ কিলোমিটাৰ গ’ল। অফিচৰ পৰা বিমানবন্দৰলৈ সৰলৰেখাৰ দূৰত্ব কিমান?,10 km,12 km,8 km,14 km,A,"The route forms a right triangle with legs 6 km and 8 km. By Pythagoras, distance = √(6² + 8²) = √100 = 10 km.",Mathematics,Pythagorean theorem
4. ৰঘুৱে কয় যে তেওঁৰ মাক হিমাদ্ৰীৰ মাকৰ একমাত্ৰ জীয়ৰী। হিমাদ্ৰীৰ সৈতে ৰঘুৰ সম্পৰ্ক কি?,Brother,Maternal Uncle,Grandfather,Son,B,The correct answer is Maternal Uncle (option B). The question directly tests the stated reasoning concept; the remaining options do not satisfy the condition given in the question.,Reasoning,Blood relations
9. ১ৰ পৰা ২০লৈ কিমানটা মৌলিক সংখ্যা আছে?,7,8,9,10,B,"The prime numbers from 1 to 20 are 2, 3, 5, 7, 11, 13, 17 and 19. There are 8 in total.",Mathematics,Prime numbers
11. এটা সংখ্যাক ১১% বৃদ্ধি কৰিলে ৭৭৭ হয়। সংখ্যাটো কিমান?,770,750,710,700,D,Let the original number be x. An 11% increase gives 1.11x = 777. Therefore x = 777/1.11 = 700.,Mathematics,Percentage
12. ম্যানমাৰৰ সৈতে ভাৰতৰ কোনখন ৰাজ্যৰ আন্তঃৰাষ্ট্ৰীয় সীমা আছে?,Nagaland,Mizoram,Manipur,Assam,C,The correct answer is Manipur (option C). The question directly tests the stated assam gk concept; the remaining options do not satisfy the condition given in the question.,Assam GK,India–Myanmar border
14. দুটা সংখ্যাৰ বৰ্গৰ পাৰ্থক্য ৬০ আৰু সংখ্যাদুটাৰ যোগফল ১২। সংখ্যাদুটাৰ পাৰ্থক্য কিমান?,5,6,10,12,A,"Let the numbers be a and b. Since a² − b² = (a−b)(a+b) = 60 and a+b = 12, we get a−b = 60/12 = 5.",Mathematics,Difference of squares
16. চৰাইদেউ কোনখন ৰাজ্যৰ ৰাজধানী আছিল?,Ahom Kingdom,Koch Kingdom,Kamarupa Kingdom,Chutia Kingdom,A,The correct answer is Ahom Kingdom (option A). The question directly tests the stated assam gk concept; the remaining options do not satisfy the condition given in the question.,Assam GK,Ahom Kingdom
17. মৌৰ্য সাম্ৰাজ্যৰ প্ৰতিষ্ঠাপক কোন?,Ashoka,Chandragupta Maurya,Bindusara,Samudragupta,B,The correct answer is Chandragupta Maurya (option B). The question directly tests the stated general knowledge concept; the remaining options do not satisfy the condition given in the question.,General Knowledge,Ancient India
