"Question_Number","Question_Text","Option_A","Option_B","Option_C","Option_D","Source"
"1","The Victoria memorial is situated in","Kolkata","New Delhi","Mumbai","Bhopal","[cite: 2]"
"2","In which track and field sports does Hima Das participate ?","Triple Jump","Long distance run","Sprints, Short distance","Hurdles","[cite: 2]"
"3","Who was awarded the “Assam Baibhav” award in December, 2021 ?","Jitendra Nath Goswami","Ratan Tata","Ratan Thiam","Amalprava Das","[cite: 2]"
"4","Narendra Modi Stadium is situated in","Baroda","Surat","Mehsana","Ahmedabad","[cite: 2]"
"5","What does LAD stand for in MPLAD Scheme ?","Local Asset Development","Local Area Development","Leading Asset Development","Local Area Distribution","[cite: 2]"
"6","On whose birthday is Abhiruchi Sports Day celebrated in Assam ?","Bhogeswar Baruah","Monalisa Baruah (Mehta)","Hima Das","Radha Govinda Baruah","[cite: 2]"
"7","Which one of the following places connect Assam with Arunachal Pradesh ?","Dirak","Baxirhat","Dimapur","Jorhat","[cite: 2]"
"8","Who was the first person from Assam to clear the Indian Civil Service (ICS) Examination ?","Jamchonga Nampui","Anundoram Barooah","Hem Chandra Baruah","Parvati Prasad Boruah","[cite: 2]"
"9","Who put forward the law of physics that “Every action has an equal and opposite reaction” ?","Benjamin Franklin","Michael Faraday","Sir Isaac Newton","Albert Einstein","[cite: 2]"
"10","What is the capital city of Zimbabwe ?","Nairobi","Harare","Cairo","Khartoum","[cite: 2]"
"11","What is the currency of United Arab Emirates (UAE) ?","Ruble","Dinar","Dirham","Shekel","[cite: 2]"
"12","Between which two towns is the Naranarayan Setu situated ?","Tezpur and Kaliabor","Nagaon and Jorhat","Jogighopa and Pancharatna","Dibrugarh and Dhemaji","[cite: 2]"
"13","Who was the last king of the Ahom Kingdom ?","Chandrakanta Singha","Jogeswar Singha","Kamaleswar Singha","Purandar Singha","[cite: 2]"
"14","Laxminath Bezbaruah’s poem “O’ Mor Apunar Desh” was first published in","Bahi","Orunodoi","Jonbiri","Jonaki","[cite: 2]"
"15","Bangkok is the capital city of","South Korea","Philippines","Indonesia","Thailand","[cite: 2]"
"16","Who was the Chief Minister of Assam immediately after Gopinath Bardoloi ?","Bimala Prasad Chaliha","Sarat Chandra Singha","Bishnuram Medhi","Golap Borbora","[cite: 2]"
