question_text,option_a,option_b,option_c,option_d,correct_option,explanation,subject,topic
"The term ""Tirthankaras"" is associated with","Jainism","Buddhism","Sikhism","Hinduism","A","Tirthankaras are spiritual teachers and saviours in Jainism. There are 24 Tirthankaras, with Lord Mahavira being the 24th.","General Knowledge","Religion"
"The State of Northeast India that does not share borders with Bangladesh, is","Manipur","Tripura","Meghalaya","Mizoram","A","Bangladesh shares its borders with the Indian states of Assam, Meghalaya, Tripura, Mizoram, and West Bengal. Manipur borders Myanmar, not Bangladesh.","Assam GK","Geography"
"Find the odd one out.","Gangtok","Imphal","Agartala","Dimapur","D","Gangtok, Imphal, and Agartala are capital cities of Sikkim, Manipur, and Tripura respectively. Dimapur is the largest city in Nagaland, but the capital is Kohima.","Reasoning","Classification"
"Which one of the following groups, is the festival ""Lai Haraoba"" associated with ?","Mishings","Karbis","Garos","Meiteis","D","Lai Haraoba is a prominent festival celebrated by the Meitei community in Manipur to please the Umang Lai (traditional deities).","General Knowledge","Art & Culture"
"Where in Northeast India is Kangla fort located ?","Agartala","Gangtok","Itanagar","Imphal","D","The Kangla Fort is an important historical and archaeological site situated at the heart of Imphal, the capital city of Manipur.","General Knowledge","Monuments"
"Which of the following is NOT a correct statement ?","Sundarbans delta is home to the largest mangrove forest in the world.","China is world's largest mica producer.","Easter Island is a land area that is antipodal to India.","India's largest inland salt water lake is located in Gujarat.","D","India's largest inland salt water lake is the Sambhar Salt Lake, which is located in Rajasthan, not Gujarat. The other statements are true.","General Knowledge","Geography"
"According to the Election Commission of India, in order to be recognized as a National Party, a political party must be treated a recognized political party in at least how many states ?","One","Four","Five","Three","B","According to the Election Commission of India, a political party must be recognized as a state party in at least four states to attain the status of a National Party.","General Knowledge","Indian Polity"
"Who amongst the following said, ""Freedom is my birth right and I shall have it"" ?","Chandra Sekhar Azad","Bal Gangadhar Tilak","Gopal Krishna Gokhale","Bhagat Singh","B","This famous slogan ""Swaraj (Freedom) is my birthright and I shall have it"" was coined by the prominent Indian nationalist Bal Gangadhar Tilak.","General Knowledge","Indian National Movement"
"The second battle of Panipat fought between Akbar and Hemu was in the year","1526","1536","1556","1576","C","The Second Battle of Panipat was fought on November 5, 1556, between the forces of Samrat Hem Chandra Vikramaditya (Hemu) and the army of Akbar.","General Knowledge","Indian History"
"When did the Election Commission of India first enforce the ""None Of The Above (NOTA)"" in the voting option in the assembly election in India ?","August, 2012","November, 2013","January, 2015","October, 2014","B","The NOTA option was first implemented in the 2013 assembly elections held in five states: Chhattisgarh, Mizoram, Rajasthan, Delhi, and Madhya Pradesh, following a Supreme Court directive.","General Knowledge","Indian Polity"
