mock_id,section,question_no,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,marks
ADRE_G3_MOCK_01,General Mathematics,1,What is 25% of 240?,40,50,60,70,C,60,1
ADRE_G3_MOCK_01,General Mathematics,2,"If x + 7 = 19, what is x?",10,11,12,13,C,12,1
ADRE_G3_MOCK_01,General Mathematics,3,"The average of 12, 18 and 24 is:",16,18,20,22,B,18,1
ADRE_G3_MOCK_01,General Mathematics,4,A sum of Rs 5000 earns simple interest at 8% per annum for 2 years. Interest is:,Rs 600,Rs 700,Rs 800,Rs 900,C,Rs 800,1
ADRE_G3_MOCK_01,General Mathematics,5,A shopkeeper buys an article for Rs 800 and sells it for Rs 920. Profit percentage is:,10%,12%,15%,20%,C,15%,1
ADRE_G3_MOCK_01,General Mathematics,6,The ratio 36:48 in simplest form is:,2:3,3:4,4:5,5:6,B,3:4,1
ADRE_G3_MOCK_01,General Mathematics,7,What is the LCM of 12 and 18?,24,30,36,42,C,36,1
ADRE_G3_MOCK_01,General Mathematics,8,A train travels 180 km in 3 hours. Its average speed is:,50 km/h,60 km/h,70 km/h,80 km/h,B,60 km/h,1
ADRE_G3_MOCK_01,General Mathematics,9,"If 3/5 of a number is 42, the number is:",60,65,70,75,C,70,1
ADRE_G3_MOCK_01,General Mathematics,10,The perimeter of a square of side 9 cm is:,18 cm,27 cm,36 cm,81 cm,C,36 cm,1
ADRE_G3_MOCK_01,General Knowledge,11,Who is known as the architect of the Indian Constitution?,Mahatma Gandhi,B. R. Ambedkar,Jawaharlal Nehru,Rajendra Prasad,B,B. R. Ambedkar,1
ADRE_G3_MOCK_01,General Knowledge,12,The capital of Assam is:,Guwahati,Jorhat,Dispur,Tezpur,C,Dispur,1
ADRE_G3_MOCK_01,General Knowledge,13,Kaziranga National Park is especially famous for:,Asiatic lion,One-horned rhinoceros,Snow leopard,Wild buffalo only,B,One-horned rhinoceros,1
ADRE_G3_MOCK_01,General Knowledge,14,The Brahmaputra enters Assam near:,Sadiya,Dibrugarh,Guwahati,Silchar,A,Sadiya,1
ADRE_G3_MOCK_01,General Knowledge,15,The Indian national song is:,Jana Gana Mana,Vande Mataram,Sare Jahan Se Achha,Ae Mere Watan,B,Vande Mataram,1
ADRE_G3_MOCK_01,General Knowledge,16,The currency of Japan is:,Won,Yuan,Yen,Ringgit,C,Yen,1
