question_text,Option A,Option B,Option C,Option D,correct_option,explanation,subject,topic / subtopic tag
1. গ্ৰীষ্মকালীন অলিম্পিকত পদক লাভ কৰা অসমৰ প্ৰথমগৰাকী এথ্‌লেট কোন আছিল ?,হিমা দাস,লাভলীনা বৰগোহাঁই,দীপাংকৰ ভট্টাচাৰ্যী,ভোগেশ্বৰ বৰুৱা,B,"Lovlina Borgohain won a bronze medal in boxing at the Tokyo 2020 Summer Olympics, becoming the first athlete from Assam to win an Olympic medal. Therefore B.",Assam GK,Sports history of Assam
2. কাৰ ৰাজত্বকালত ৰংঘৰ নিৰ্মাণ কৰা হৈছিল।,স্বৰ্গদেও ৰুদ্ৰসিংহ,স্বৰ্গদেও শিৱসিংহ,স্বৰ্গদেও ৰাজেশ্বৰ সিংহ,স্বৰ্গদেও প্ৰমত্ত সিংহ,D,"Rang Ghar at Sivasagar was constructed during the reign of Swargadeo Pramatta Singha in the 18th century. Therefore, D is correct.",Assam GK,Ahom Kingdom — Rang Ghar
3. অসম মহিলা বিশ্ববিদ্যালয় কোন ঠাইত অৱস্থিত ?,শিৱসাগৰ,ডিব্ৰুগড়,যোৰহাট,লক্ষীমপুৰ,C,"Assam Women's University is located at Jorhat. Hence, option C is correct.",Assam GK,Education institutions of Assam
4. শ্ৰীৰামপুৰ ঠাইখনে অসমৰ সৈতে কোনখন ৰাজ্যক সংযোগ কৰিছে ?,মেঘালয়,অৰুণাচল প্ৰদেশ,মণিপুৰ,পশ্চিমবঙ্গ,A,Srirampur is the Assam gateway connecting the state with Meghalaya. Hence A is correct.,Assam GK,Geography of Assam — state connections
5. নিম্নলিখিত কোনখন চহৰত সাগৰীয় বন্দৰ আছে ?,কোচিন,নতুন দিল্লী,কলিকতা,ভূপাল,A,Cochin (Kochi) is a coastal city with a major seaport. The other three options are inland or not the intended seaport city. Therefore A.,Assam GK,Indian geography — ports
6. জাপানৰ মুদ্ৰাৰ নাম হৈছে:,ইউৱান,ইয়েন,ডলাৰ,ৰুবল,B,"Japan's currency is the yen. Yuan is China's currency, while dollar and rouble belong to other countries. So B is correct.",Assam GK,World geography — currencies
7. পবিতৰা সম্পৰ্কীয় নিম্নলিখিত কোনটো উক্তি সত্য ?,ই হৈছে কোকৰাঝাৰ জিলাত অৱস্থিত এক নগৰ।,ই হৈছে কাৰ্বি আংলঙৰ এটা পৰ্বতৰ শৃঙ্গ।,ই হৈছে ডিব্ৰুগড়ৰ সমীপৱৰ্তী এক হ্ৰদ।,ই হৈছে মৰিগাঁও জিলাস্থিত এক বন্যপ্ৰাণী অভয়াৰণ্য।,D,Pobitora Wildlife Sanctuary is situated in Morigaon district of Assam and is famous for its rhinoceros population. Thus D is correct.,Assam GK,Wildlife sanctuaries of Assam — Pobitora
8. নিম্নলিখিত দলংসমূহৰ কোনখন গুৱাহাটীৰ সমীপৱৰ্তী ?,ভূপেন হাজৰিকা সেতু,শৰাইঘাট দলং,নৰনাৰায়ণ সেতু,কলিয়াভোমোৰা সেতু,B,The Saraighat Bridge crosses the Brahmaputra at Guwahati and is the bridge closest to the city among the options. Hence B.,Assam GK,Bridges of Assam
9. নিম্নলিখিত ভ্ৰাম্যমান থিয়েটাৰ দল সমূহৰ ভিতৰত কোনখন আটাইতকৈ পুৰণি ?,আৱাহন থিয়েটাৰ,ক’হিনুৰ থিয়েটাৰ,নটৰাজ থিয়েটাৰ,ভাগ্যদেৱী থিয়েটাৰ,C,"Natraj Theatre, founded by Achyut Lahkar in 1963, is recognised as the first/oldest mobile theatre group of Assam. Hence C.",Assam GK,Assamese mobile theatre
10. “অ’ মোৰ আপোনাৰ দেশ” সংগীতটিক কোনে সুৰাৰোপিত কৰিছিল?,কমলা প্ৰসাদ আগৰৱালা,লক্ষ্মীনাথ বেজবৰুৱা,বিষ্ণুপ্ৰসাদ ৰাভা,পাৰ্বতি প্ৰসাদ বৰুৱা,A,The tune of Assam's state song 'O Mur Apunar Desh' was composed by Kamala Prasad Agarwala. Hence A.,Assam GK,Assamese culture — music
11. অসমীয়া ভাষাৰ প্ৰথম আলোচনী “অৰুণোদই” কোন ঠাইৰ পৰা প্ৰকাশিত হৈছিল ?,যোৰহাট,শিৱসাগৰ,নাহৰকটীয়া,কোকৰাঝাৰ,B,Orunodoi was first published from Sivasagar in 1846. Hence option B.,Assam GK,Assamese literature — Orunodoi
12. জ্ঞানপীঠ বঁটা প্ৰাপক প্ৰথম অসমীয়া লেখক গৰাকী হৈছে,মামনি ৰয়চম গোস্বামী,য়েছে ড’ৰজে ঠংচি,ভবেন্দ্ৰনাথ শইকীয়া,বীৰেন্দ্ৰ কুমাৰ ভট্টাচাৰ্য্য,D,Birendra Kumar Bhattacharyya was the first Assamese writer to receive the Jnanpith Award. Hence D.,Assam GK,Assamese literature — Jnanpith Award
13. ১৯৪২ চনৰ ভাৰত ত্যাগ আন্দোলনত বৃটিচ পুলিচে কনকলতা আৰু মুকুন্দ কাকতিক গুলিয়াই হত্যা কৰা ঠাইখন হৈছে:,গহপুৰ,তেজপুৰ,ঢেকীয়াজুলি,আহতগুৰি,A,Kanaklata Barua and Mukunda Kakati were martyred in the Gohpur police firing during the Quit India Movement. Therefore A.,Assam GK,Quit India Movement in Assam
14. “অসমীয়া ভাষা উন্নতি সভা” খালি ঠাই পূৰ কৰিবৰ শুদ্ধ শব্দটো হৈছে,সাধিনী,বনহুমুখী,কৰণ,বিস্তাৰণ,A,"The organisation's historical name is 'Asomiya Bhasha Unnati Sadhini Sabha'. Therefore the missing word is Sadhini, A.",Assam GK,Assamese language movement
15. বাল্মিকী ৰামায়ণৰ অসমীয়া অনুবাদিত গ্ৰন্থ সপ্তকাণ্ড ৰামায়ণখন কোনে লিখি উলিয়াইছিল ?,ৰাম সৰস্বতী,অনন্ত কন্দলী,মাধৱ কন্দলি,শ্ৰীমন্ত শংকৰদেৱ,C,Madhav Kandali translated the Ramayana into Assamese; his work is known as Saptakanda Ramayana. Hence C.,Assam GK,Assamese literature — Madhav Kandali
16. অসম ৰাজ্যিক চিৰিয়াখানা আৰু উদ্ভিদ উদ্যানখন ক’ত অৱস্থিত ?,তেজপুৰ,কাজিৰঙা,গুৱাহাটী,গোৱালপাৰা,C,The Assam State Zoo cum Botanical Garden is located at Hengrabari in Guwahati. Therefore C.,Assam GK,Assam geography — institutions
17. পখিলাৰ জীৱন-চক্ৰত নিম্নলিখিত কোনটো অন্তৰ্ভুক্ত নহয় ?,পলু,কণী,লেটা,লালুকী,D,"Butterflies pass through egg, larva/caterpillar and pupa stages before becoming adults. A tadpole is an amphibian larval stage, not part of the butterfly life cycle. D is correct.",General Science,Biology — butterfly life cycle
18. ৰাষ্ট্ৰীয় চলচ্চিত্ৰ মহোৎসৱত পূৰ্ণাঙ্গ দৈৰ্ঘ্যৰ চলচ্চিত্ৰৰ শিতানত সৰ্বশ্ৰেষ্ঠ চলচ্চিত্ৰৰ খিতাপ লাভ কৰা প্ৰথম অসমীয়া চলচ্চিত্ৰখন হৈছে:,ভিলেজ ৰ’কষ্টাৰ,অৰণ্য,হালধীয়া চৰায়ে বাওধান খায়,ড. বেজবৰুৱা,C,Halodhiya Choraye Baodhan Khai was the first Assamese film to win the National Film Award for Best Feature Film (Swarna Kamal). Therefore C.,Assam GK,Assamese cinema
19. টোকলাই চাহ গৱেষণা প্ৰতিষ্ঠানটি অৱস্থিত নগৰখন হৈছে:,ডিব্ৰুগড়,যোৰহাট,শিৱসাগৰ,বিশ্বনাথ চাৰিআলি,B,The Tocklai Tea Research Institute is located in Jorhat. Therefore B.,Assam GK,Tea research in Assam
20. অসমৰ একমাত্ৰ সৈনিক স্কুল থকা ঠাইখন হৈছে:,শিলচৰ,বঙাইগাঁও,তিনিচুকীয়া,গোৱালপাৰা,D,Sainik School Goalpara is the Sainik School in Assam. Hence D.,Assam GK,Educational institutions of Assam
21. নুমলীগড় শোধনাগাৰটি কোনখন জিলাত অৱস্থিত ?,গোলাঘাট,যোৰহাট,কাৰ্বি আংলং,নগাঁও,A,Numaligarh Refinery is located in Golaghat district of Assam. Thus A.,Assam GK,Industries of Assam — Numaligarh Refinery
22. সৌৰজগতৰ কোনটো গ্ৰহ পৃথিৱী আৰু বৃহস্পতিৰ মাজত অৱস্থান কৰে ?,মঙ্গল,শুক্ৰ,শনি,বুধ,A,"In order from the Sun, Earth is followed by Mars and then Jupiter. Therefore Mars lies between Earth and Jupiter; A is correct.",General Science,Solar system
23. কোন গৰাকী ব্যক্তিয়ে ভাৰতৰ জাতীয় পতাকাখনৰ ৰূপাংকণ কৰিছিল ?,মোহনদাস কৰমচাঁদ গান্ধী,পিংগলী ভেংকয়া,সৰোজিনী নাইডু,ৰবীন্দ্ৰনাথ ঠাকুৰ,B,Pingali Venkayya is credited with designing the Indian national flag. Therefore B.,Assam GK,Indian national symbols
