question_text,Option A,Option B,Option C,Option D,correct_option,explanation,subject,topic / subtopic tag
1. ভিক্টোৰিয়া মেম’ৰিয়েল কোন ঠাইত অৱস্থিত?,কলকাতা,নতুন দিল্লী,মুম্বাই,ভূপাল,A,"The Victoria Memorial is located in Kolkata, West Bengal. Therefore, option A is correct.",Assam GK,Indian Geography / Important Places
2. হিমা দাসে কোনবিধ ট্ৰেক আৰু ফিল্ড ক্ৰীড়াত অংশগ্ৰহণ কৰে?,ট্ৰিপল জাম্প,দীৰ্ঘ দূৰত্বৰ দৌৰ,স্প্ৰিণ্টছ/স্বল্প দূৰত্বৰ দৌৰ,হাৰ্ডলছ,C,"Hima Das is an Indian sprinter known for short-distance track events, especially the 400 m. Therefore, C is correct.",Assam GK,Sports / Hima Das
3. ডিচেম্বৰ ২০২১ত ‘অসম বৈভৱ’ বঁটা কাক প্ৰদান কৰা হৈছিল?,জিতেন্দ্ৰ নাথ গোস্বামী,ৰतन টাটা,ৰতন থিয়াম,অমলপ্ৰভা দাস,B,"The Assam Baibhav is Assam's highest civilian award, and Ratan Tata was the inaugural recipient in 2021. Hence B.",Assam GK,Assam Awards / Assam Baibhav
4. নৰেন্দ্ৰ মোদী ষ্টেডিয়াম ক’ত অৱস্থিত?,বৰোদা,ছুৰাট,মেহচানা,আহমেদাবাদ,D,"The Narendra Modi Stadium is in Ahmedabad, Gujarat. Hence D.",General Science,Sports / Stadiums
5. MPLAD আঁচনিত LAD-ৰ সম্পূৰ্ণ ৰূপ কি?,Local Asset Development,Local Area Development,Leading Asset Development,Local Area Distribution,B,MPLAD means Members of Parliament Local Area Development Scheme; LAD stands for Local Area Development. Hence B.,Assam GK,Government Schemes / MPLAD
6. অসমত ‘অভিৰুচি ক্ৰীড়া দিৱস’ কাৰ জন্মদিনত পালন কৰা হয়?,ভোগেশ্বৰ বৰুৱা,মনালিছা বৰুৱা (মেহতা),হিমা দাস,ৰাধাগোবিন্দ বৰুৱা,B,Abhiruchi Sports Day in Assam is associated with the birthday of sportsperson Monalisa Baruah (Mehta). Hence B.,Assam GK,Sports / Assam Sports Personalities
7. তলৰ কোনখন ঠাইয়ে অসমক অৰুণাচল প্ৰদেশৰ সৈতে সংযোগ কৰে?,দিৰাক,বক্সিৰহাট,ডিমাপুৰ,যোৰহাট,A,Dirak is an important border point connecting Assam with Arunachal Pradesh. Hence A.,Assam GK,Geography of Assam / Borders
8. অসমৰ প্ৰথম কোন ব্যক্তিয়ে Indian Civil Service (ICS) পৰীক্ষাত উত্তীৰ্ণ হৈছিল?,জামচোঙা নামপুই,আনন্দৰাম বৰুৱা,হেমচন্দ্ৰ বৰুৱা,পাৰ্বতীপ্ৰসাদ বৰুৱা,B,Anundoram Barooah was the first person from Assam to qualify for the Indian Civil Service. Hence B.,Assam GK,Assam History / Personalities
9. ‘প্ৰত্যেক ক্ৰিয়াৰ সমান আৰু বিপৰীত প্ৰতিক্ৰিয়া আছে’—এই ভৌতবিজ্ঞানৰ নিয়ম কোনে আগবঢ়াইছিল?,বেঞ্জামিন ফ্ৰেংকলিন,মাইকেল ফেৰাডে,ছাৰ আইজাক নিউটন,আলবাৰ্ট আইনষ্টাইন,C,"This is Newton's Third Law of Motion. Therefore, Sir Isaac Newton is correct.",General Science,Physics / Laws of Motion
10. জিম্বাবুৱেৰ ৰাজধানী চহৰখন কি?,নাইৰোবি,হাৰাৰে,কায়ৰো,খাৰ্টুম,B,Harare is the capital of Zimbabwe. Hence B.,Assam GK,World Geography / Capitals
