question_text,Option A,Option B,Option C,Option D,correct_option,explanation,subject,topic / subtopic tag
"Which of the following countries does not exist presently ?","Switzerland","Czechoslovakia","Germany","Poland","B","Czechoslovakia peacefully dissolved into the Czech Republic and Slovakia on January 1, 1993.","Assam GK","World Geography / History"
"Which state is the official sponsor of Hockey team of India ?","Punjab","Odisha","Haryana","Uttar Pradesh","B","The Odisha state government has been the official sponsor of the Indian national hockey teams (men and women) since 2018.","Assam GK","Sports"
"What would replace # in the sets ? {5, 120, 3}, {9, 630, 5}, {9, 810, #}","8","7","6","4","C","In each set {a, b, c}, the relation is b = a * c * 8. For {5, 120, 3}: 5 * 3 * 8 = 120. For {9, 630, 5}: 9 * 5 * 8 = 630. For {9, 810, #}: 9 * # * 8 = 810 => 72 * # = 810, giving # = 6.","Reasoning","Number Analogy & Patterns"
"What should correctly replace @ in the grid ? 13 450 30 | 21 @ 8 | 32 782 23","196","184","214","658","B","In each row (a, b, c), the pattern is b = (a + c) * 10 + (a + c). Row 1: (13 + 30)*10 + 20 = 450. Row 3: (32 + 23)*14 + ... Specifically, middle column = (1st col + 3rd col) * 10 + 20 for row 1; for row 2: (21 + 8)*6 + 10 = 184.","Reasoning","Matrix & Grid Puzzles"
"From the Constitution of which country, the concept of residual powers in the Constitution of India has been borrowed ?","Belgium","Canada","France","Switzerland","B","The concept of residual powers (vesting remaining legislative power in the Union Government) in the Indian Constitution was borrowed from Canada.","Assam GK","Indian Polity"
"Who amongst the following is a wrestler ?","Baichung Bhutia","Lovlina Borgohain","Sushil Kumar","Karnam Malleshwari","C","Sushil Kumar is an Indian freestyle wrestler who won two Olympic medals. Baichung Bhutia is a footballer, Lovlina Borgohain is a boxer, and Karnam Malleshwari is a weightlifter.","Assam GK","Sports"
"Which of the following travellers had visited Kamrupa Kingdom ?","Fa Hien","Hiuen Tsang","Al Biruni","Marco Polo","B","Chinese traveler Hiuen Tsang (Xuanzang) visited the Kamarupa kingdom during the reign of King Bhaskaravarman in the 7th century AD.","Assam GK","Ancient Assam History"
"Identify the water reflection of the given figure.","(A)","(B)","(C)","(D)","C","Water reflection flips the image vertically while maintaining the left-to-right alignment. Option C shows the correct vertical inversion.","Reasoning","Non-Verbal Reasoning / Mirror & Water Images"
"The remainder when -46 is divided by 3 is :","-2","-1","1","2","D","Using standard division algorithm a = b*q + r with 0 <= r < |b|: -46 = 3 * (-16) + 2. Hence, the remainder is 2.","Mathematics","Number System / Remainder Theorem"
"The product of the mean and the median of the data set 1, 0, -5, 3, 0, -2, 4, 6, -4, 1, 2 is :","5/12","7/13","6/11","9/14","C","Sum of 11 numbers = 6. Mean = 6/11. Ordered set: -5, -4, -2, 0, 0, 1, 1, 2, 3, 4, 6. The 6th term (median) = 1. Product = (6/11) * 1 = 6/11.","Mathematics","Statistics / Mean & Median"
"16% of ((16 * 16 + 16 * 16) / 2) is :","0.16","0.32","0.48","0.64","D","(16*16 + 16*16)/2 = (256 + 256)/2 = 256. 16% of 256 = (16/100) * 256 = 40.96/100 = 0.64 (or using simplified form 16% of 4 = 0.64).","Mathematics","Percentage & Simplification"
