keyword,search_intent,topic_cluster,funnel_stage,estimated_search_demand,competition_difficulty,commercial_value,target_url,content_type,priority,status
adre,informational,ADRE Core,top,150000,high,medium,/adre/,hub_page,P0,planned
adre 3.0,informational,ADRE Core,top,45000,medium,medium,/adre/,hub_page,P0,planned
adre syllabus,informational,ADRE Core,top,90000,high,high,/adre/syllabus/,guide,P0,planned
adre exam pattern,informational,ADRE Core,top,60000,medium,high,/adre/exam-pattern/,guide,P0,planned
adre eligibility,informational,ADRE Core,top,50000,medium,medium,/adre/eligibility/,guide,P0,planned
adre notification,informational,ADRE Core,top,75000,high,medium,/adre/notification/,news_guide,P1,planned
adre preparation,commercial,ADRE Core,middle,40000,medium,high,/adre/preparation/,guide,P1,planned
adre exam date,informational,ADRE Core,top,85000,high,medium,/adre/exam-date/,news_guide,P1,planned
adre grade 3,informational,ADRE Core,top,70000,high,high,/adre/grade-3/,hub_page,P0,planned
adre grade 4,informational,ADRE Core,top,65000,high,high,/adre/grade-4/,hub_page,P0,planned
adre previous year question paper,transactional,Previous-Year Questions,middle,80000,medium,high,/adre/previous-year-question-paper/,download_hub,P0,planned
adre question paper 2022,transactional,Previous-Year Questions,middle,35000,low,medium,/adre/previous-year-question-paper/2022/,interactive_paper,P1,planned
adre question paper 2024,transactional,Previous-Year Questions,middle,55000,medium,high,/adre/previous-year-question-paper/2024/,interactive_paper,P0,planned
adre previous year questions,informational,Previous-Year Questions,middle,45000,low,high,/adre/pyq/,question_bank,P1,planned
adre pyq,informational,Previous-Year Questions,middle,50000,low,high,/adre/pyq/,question_bank,P0,planned
adre topic-wise pyq,informational,Previous-Year Questions,middle,25000,low,high,/adre/pyq/topic-wise/,question_bank,P1,planned
adre repeated questions,informational,Previous-Year Questions,middle,20000,low,high,/adre/pyq/repeated-questions/,article_quiz,P1,planned
adre mock test,transactional,Mock Test / Practice,bottom,95000,high,high,/adre/mock-test/,landing_page,P0,planned
adre online test,transactional,Mock Test / Practice,bottom,30000,medium,high,/adre/mock-test/,landing_page,P1,planned
adre test series,transactional,Mock Test / Practice,bottom,40000,medium,high,/adre/test-series/,product_page,P0,planned
adre practice test,transactional,Mock Test / Practice,middle,35000,medium,high,/adre/mock-test/,landing_page,P1,planned
adre mcq,informational,Mock Test / Practice,middle,60000,medium,high,/adre/mcq/,quiz_hub,P0,planned
adre practice set,transactional,Mock Test / Practice,middle,28000,low,high,/adre/practice-set/,quiz_hub,P1,planned
adre grade 3 mock test,transactional,Mock Test / Practice,bottom,50000,medium,high,/adre/mock-test/grade-3/,landing_page,P0,planned
adre grade 4 mock test,transactional,Mock Test / Practice,bottom,45000,medium,high,/adre/mock-test/grade-4/,landing_page,P0,planned
adre assam gk,informational,Subject Clusters,middle,110000,high,high,/assam-gk/,hub_page,P0,planned
adre assam history,informational,Subject Clusters,middle,45000,medium,high,/assam-gk/history/,hub_page,P0,planned
adre assam geography,informational,Subject Clusters,middle,38000,medium,high,/assam-gk/geography/,hub_page,P0,planned
adre assam polity,informational,Subject Clusters,middle,30000,medium,high,/assam-gk/polity/,hub_page,P1,planned
adre english,informational,Subject Clusters,middle,35000,medium,medium,/adre/subject/english/,hub_page,P1,planned
adre mathematics,informational,Subject Clusters,middle,42000,medium,high,/adre/subject/mathematics/,hub_page,P1,planned
adre reasoning,informational,Subject Clusters,middle,39000,medium,high,/adre/subject/reasoning/,hub_page,P1,planned
adre general science,informational,Subject Clusters,middle,32000,medium,medium,/adre/subject/science/,hub_page,P1,planned
adre current affairs,informational,Subject Clusters,middle,65000,high,high,/current-affairs/,hub_page,P0,planned
assam history,informational,Assam Knowledge,top,55000,medium,medium,/assam-gk/history/,guide,P0,planned
assam geography,informational,Assam Knowledge,top,48000,medium,medium,/assam-gk/geography/,guide,P0,planned
assam polity,informational,Assam Knowledge,top,35000,medium,medium,/assam-gk/polity/,guide,P1,planned
assam culture,informational,Assam Knowledge,top,40000,low,medium,/assam-gk/culture/,guide,P1,planned
assam tribes,informational,Assam Knowledge,top,28000,low,medium,/assam-gk/culture/tribes/,guide,P2,planned
assam literature,informational,Assam Knowledge,top,22000,low,medium,/assam-gk/culture/literature/,guide,P2,planned
assam personalities,informational,Assam Knowledge,top,25000,low,medium,/assam-gk/personalities/,guide,P2,planned
assam economy,informational,Assam Knowledge,top,20000,low,medium,/assam-gk/economy/,guide,P2,planned
assam current affairs,informational,Assam Knowledge,top,70000,high,high,/current-affairs/assam/,guide_hub,P0,planned
assam gk mcq,informational,Assam Knowledge,middle,50000,medium,high,/assam-gk/mcq/,quiz_hub,P0,planned
adre score calculator,transactional,Tools,bottom,18000,low,high,/tools/score-calculator/,interactive_tool,P0,planned
adre percentage calculator,transactional,Tools,bottom,12000,low,medium,/tools/percentage-calculator/,interactive_tool,P1,planned
adre eligibility checker,transactional,Tools,middle,15000,low,high,/tools/eligibility-checker/,interactive_tool,P0,planned
adre age calculator,transactional,Tools,middle,22000,low,medium,/tools/age-calculator/,interactive_tool,P1,planned
adre mock score analyzer,transactional,Tools,bottom,8000,very_low,high,/tools/mock-analyzer/,interactive_tool,P1,planned
adre rank calculator,transactional,Tools,bottom,14000,low,high,/tools/rank-predictor/,interactive_tool,P0,planned
adre study plan generator,transactional,Tools,middle,10000,very_low,high,/tools/study-planner/,interactive_tool,P0,planned
