"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","subject","topic_subtopic_tag"
"As on 1st of January, 2024, who is the Speaker of Assam Legislative Assembly ?","Hitendra Nath Goswami","Numal Momin","Biswajit Daimary","Rupsing Teron","C","Biswajit Daimary is the Speaker of the Assam Legislative Assembly.","Assam GK","Assam Politics & Governance"
"In which of the following, cash amount can be withdrawn ?","ATM","NEFT","UPI","IFSC","A","An Automated Teller Machine (ATM) allows physical cash withdrawal, unlike digital transaction protocols like NEFT, UPI, or banking codes like IFSC.","General Science","Banking & Financial Technology"
"After picking up his passenger at the office, the taxi driver drove six kilometers before he turned left at the post office. Then he drove for eight kilometers to arrive at the airport. By a straight line, how far is the airport from the office ?","Ten kilometers","Twelve kilometers","Eight kilometers","Fourteen kilometers","A","Using the Pythagorean theorem for the perpendicular path: Distance = sqrt(6^2 + 8^2) = sqrt(36 + 64) = sqrt(100) = 10 kilometers.","Reasoning","Directions & Distance"
"If Raghu says that his mother is the only daughter of Himadri’s mother, how is Himadri related to Raghu ?","Brother","Maternal Uncle","Grandfather","Son","B","Himadri's mother's only daughter is Raghu's mother, which means Himadri is Raghu's mother's brother (Maternal Uncle).","Reasoning","Blood Relations"
"Which of the following punctuation mark is missing in the sentence ? Rakesh suddenly said, Last night I heard a fox howling.","{ , }","{ . }","{ “ ” }","{ ! }","C","Direct speech requires quotation marks { “ ” } around the reported words ""Last night I heard a fox howling.""","English","Punctuation"
"What is the antonym of SLOW ?","Fast","Reverse","Side","Upwards","A","The direct opposite/antonym of the word 'slow' is 'fast'.","English","Vocabulary - Antonyms"
"What is the opposite of BEAUTIFUL ?","Dirty","Unruly","Handsome","Ugly","D","The direct antonym/opposite of 'beautiful' is 'ugly'.","English","Vocabulary - Antonyms"
"Which word is incorrectly spelt ?","Possible","Permission","Pressure","Posess","D","The correct spelling is 'Possess' (with double 's' at the end).","English","Spelling Test"
"The count of prime numbers between 1 and 20 is :","7","9","8","10","C","The prime numbers between 1 and 20 are 2, 3, 5, 7, 11, 13, 17, and 19. There are 8 prime numbers in total.","Mathematics","Number System"
"Which word is incorrectly spelt ?","Expert","Carpet","Dapart","Puppet","C","The correct spelling is 'Depart' (with an 'e').","English","Spelling Test"
"A number when increased by 11% becomes 777. The number is :","770","750","710","700","D","Let the number be x. x * 1.11 = 777 => x = 777 / 1.11 = 700.","Mathematics","Percentage"
"Moreh (Manipur) is a road connection point of India with which country ?","Thailand","Nepal","Myanmar","Bhutan","C","Moreh in Manipur is a border town on the India–Myanmar border.","Assam GK","Geography of North East India"
"Which word of the following list is not a pronoun ?","He","She","And","They","C","'And' is a conjunction used to connect words or clauses, while He, She, and They are pronouns.","English","Parts of Speech"
"The sum of two numbers is 12 and the difference of their squares is 60. The difference between the numbers is :","3","5","7","9","B","Let the numbers be a and b. Given a + b = 12 and a^2 - b^2 = 60. Since a^2 - b^2 = (a+b)(a-b), 60 = 12 * (a-b) => a - b = 5.","Mathematics","Algebra"
"Which language name is correctly spelt ?","Franch","English","Porteugese","Spenish","B","'English' is correctly spelt. The correct spellings for others are French, Portuguese, and Spanish.","English","Spelling Test"
"Where was the first capital of Ahom Kingdom established ?","Rongpur","Garhgaon","Charaideo","Guwahati","C","Chaolung Sukaphaa established the first capital of the Ahom Kingdom at Charaideo in 1253.","Assam GK","Ahom Kingdom"
"Which of the following was not a ruling dynasty of ancient Assam ?","Maurya","Varman","Pala","Koch","A","The Maurya Empire ruled across mainland India; Varman, Pala, and Koch were dynasties that ruled in Assam/Kamarupa.","Assam GK","History of Ancient Assam"
"What does ‘fair’ in the sentence “They played a fair match” mean ?","Very long","Within the rules","Breaking many rules","All players are seniors","B","In the context of sports, 'fair' means played according to rules without cheating.","English","Idioms & Phrases"
"If the number 47329 is doubled, what would be the digit exactly in the middle of the result ?","6","7","4","5","A","47329 * 2 = 94658. The 5-digit result has 6 exactly in the middle position (3rd digit).","Mathematics","Basic Arithmetic"
"What type of horn is permitted in a vehicle in India ?","Multitoned horn","Electric horn","Air horn","Any type of horn","B","Under Motor Vehicles Rules in India, standard electric horns are permitted while air and multi-toned horns are prohibited.","General Science","Traffic Rules & Driving Knowledge"
"How long is an applicant required to wait to apply for driving licence after he has obtained the Learner’s Licence ?","30 days","60 days","45 days","6 months","A","An applicant can apply for a permanent driving licence after 30 days from the date of issuance of the Learner's Licence.","General Science","Traffic Rules & Driving Knowledge"
"Which of the following is an output device ?","Keyboard","Speaker","Mouse","Microphone","B","A speaker outputs audio data to the user, whereas keyboard, mouse, and microphone are input devices.","General Science","Computer Fundamentals"
"What single word would mean the same as “the base frame of a car or bus, or any such wheeled vehicle” ?","Framework","Chassis","Cabin","Monocoque","B","The chassis is the base frame/under-carriage of a motor vehicle.","General Science","Automobile Fundamentals"
"The flag of which country is triangular in shape ?","Brazil","Kuala Lumpur","Sri Lanka","Nepal","D","Nepal is the only country in the world whose national flag is non-quadrilateral/triangular in shape.","Assam GK","World Geography & GK"
"Who wrote Arthasashtra ?","Brahmagupta","Swami Vivekananda","Raghuram Rajan","Chanakya","D","Arthashastra is an ancient Indian treatise on statecraft and economic policy written by Chanakya (Kautilya).","Assam GK","Indian History & Literature"
"The numbers that cannot be expressed in the form of fractions are called :","Whole numbers","Recurring numbers","Prime numbers","Irrational numbers","D","Irrational numbers cannot be written as a simple fraction p/q where p and q are integers.","Mathematics","Number System"
"A man types at the rate of 45 words per minute. How long will he take to type 555 words ?","12 min 15 sec","12 min 20 sec","12 min 30 sec","12 min 45 sec","B","Time = 555 / 45 = 12.333 minutes = 12 minutes and (0.333 * 60) = 12 minutes 20 seconds.","Mathematics","Time & Work"
"A number when multiplied with 1111 results in 7777. The number is :","7","17","70","77","A","Let the number be x. x * 1111 = 7777 => x = 7777 / 1111 = 7.","Mathematics","Basic Arithmetic"
"Who was the commander of Koch King Naranarayan’s army ?","Raghabendra","Chakradhwaj","Tingrai","Chilarai","D","Chilarai (Sukladhwaj), brother of King Naranarayan, was the commander-in-chief of the Koch army.","Assam GK","History of Assam"
"Oja pali is a religious component of which region of Assam ?","Lakhimpur - Dibrugarh region","Silchar - Karimganj region","Haflong - Hamren region","Mangaldoi - Nalbari region","D","Ojapali is a traditional folk dance performance native to the Darrang/Mangaldoi and Nalbari region of Assam.","Assam GK","Culture & Festivals of Assam"
"What is the synonym of BRAKE ?","Parking","Slow","Clutch","Gear","B","In the context of vehicle operations, to brake means to slow down or bring a vehicle to a stop.","English","Vocabulary - Synonyms"
"Find the value of 18−[6−(4+2)]−5.","9","16","13","11","C","18 - [6 - 6] - 5 = 18 - 0 - 5 = 13.","Mathematics","Simplification"
"What is the Collective noun for bananas ?","bunch","pack","bouquet","bowl","A","The collective noun for a grouping of bananas is a 'bunch'.","English","Nouns & Grammar"
"2% of 3% of 5000 is :","5","3","2","6","B","5000 * (3/100) * (2/100) = 5000 * 0.03 * 0.02 = 3.","Mathematics","Percentage"
"In India, a vehicle is driven on the ____________.","right side of the road with the driver sitting on the left side of the vehicle","left side of the road with the driver sitting on the right side of the vehicle","right side of the road with the driver sitting on the right side of the vehicle","left side of the road with the driver sitting on the left side of the vehicle","B","India follows left-hand traffic where vehicles drive on the left side of the road and driver seats are positioned on the right side.","General Science","Traffic Rules & Driving Knowledge"
"When TANK is coded as KNAT, then what would be the fifth letter if PROCESS is coded in the same way ?","C","E","O","R","C","The code reverses the word. PROCESS reversed becomes SSECORP. The 5th letter is 'C'.","Reasoning","Coding-Decoding"
"In which event did Neeraj Chopra win Gold Medal in 2020 Olympic Games ?","Discus throw","Hammer throw","Shot put","Javelin throw","D","Neeraj Chopra won the Gold Medal for India in the Men's Javelin throw event at the 2020 Tokyo Olympics.","Assam GK","Sports & Olympics"
"First serialized on social media and then published as a book, Life of a driver : Cabin’or Ipare is written by :","Pratibhu Dutta","Rupam Dutta","Debabrata Das","Ramanuj Goswami","B","'Life of a driver: Cabin'or Ipare' is a book authored by Rupam Dutta.","Assam GK","Assam Literature & Books"
"What does “apple of one’s eye” mean ?","Target for practice","Special favourite, beloved person or thing","Most hated person","A sincere and loyal person","B","The idiom 'apple of one's eye' refers to someone or something that is cherished above all others.","English","Idioms & Phrases"
"The place value of 2 in 4213.6 is :","213","2","200","20","C","The digit 2 is in the hundreds place, so its place value is 2 * 100 = 200.","Mathematics","Number System"
"Which of the following should not be in the same group ?","Paper","Eraser","Pen","Textbook","D","Paper, Eraser, and Pen are basic writing/stationery tools, while Textbook is reading material.","Reasoning","Odd One Out"
"Which of the following items is related to works by Sir Isaac Newton ?","Rocket","Atom Bomb","Semiconductor","Automobile","A","Newton's Third Law of Motion (action and reaction) forms the fundamental working principle of rockets.","General Science","Physics & Inventions"
