question_text,Option A,Option B,Option C,Option D,correct_option,explanation,subject,topic / subtopic tag
1. “তীৰ্থংকৰ” শব্দটো কোন ধৰ্মৰ সৈতে সম্পৰ্কিত?,জৈনধৰ্ম,বৌদ্ধধৰ্ম,শিখধৰ্ম,হিন্দুধৰ্ম,A,“তীৰ্থংকৰ” জৈন ধৰ্মৰ আধ্যাত্মিক গুৰুসকলক বুজায়। সেয়ে সঠিক উত্তৰ জৈনধৰ্ম।,Assam GK,Jainism and Tirthankaras
2. উত্তৰ-পূব ভাৰতৰ কোনখন ৰাজ্যৰ সীমা বাংলাদেশৰ সৈতে সংলগ্ন নহয়?,মণিপুৰ,ত্ৰিপুৰা,মেঘালয়,মিজোৰাম,A,"ত্ৰিপুৰা, মেঘালয় আৰু মিজোৰামৰ বাংলাদেশৰ সৈতে সীমা আছে। মণিপুৰৰ নাই।",Assam GK,Northeast India borders
3. নিম্নলিখিত বিকল্পসমূহৰ ভিতৰত অমিল শব্দটো কোনটো?,গেংটক,ইম্ফল,আগৰতলা,ডিমাপুৰ,D,"গেংটক, ইম্ফল আৰু আগৰতলা ক্ৰমে ছিকিম, মণিপুৰ আৰু ত্ৰিপুৰাৰ ৰাজধানী। ডিমাপুৰ নাগালেণ্ডৰ ৰাজধানী নহয়; ৰাজধানী কোহিমা।",Assam GK,Northeast state capitals
4. “লাই হাৰাওবা” উৎসৱটো কোন জাতিগোষ্ঠীৰ সৈতে সম্পৰ্কিত?,মিচিং,কাৰ্বি,গাৰো,মেইতেই,D,লাই হাৰাওবা মণিপুৰৰ মেইতেই জনগোষ্ঠীৰ ঐতিহ্যবাহী উৎসৱ।,Assam GK,Tribal festivals of Northeast
5. উত্তৰ-পূব ভাৰতত কাংলা দুৰ্গ ক’ত অৱস্থিত?,আগৰতলা,গেংটক,ইটানগৰ,ইম্ফল,D,কাংলা দুৰ্গ মণিপুৰৰ ঐতিহাসিক ৰাজধানী ইম্ফলত অৱস্থিত।,Assam GK,Historical places of Northeast
6. তলৰ কোনটো বক্তব্য শুদ্ধ নহয়?,সুন্দৰবন বদ্বীপত বিশ্বৰ সৰ্ববৃহৎ মেংগ্ৰোভ বন আছে।,চীন বিশ্বৰ সৰ্ববৃহৎ মাইকা উৎপাদক দেশ।,ইষ্টাৰ দ্বীপ ভাৰতৰ বিপৰীতমুখী (antipodal) অঞ্চলৰ সৈতে সম্পৰ্কিত।,ভাৰতৰ সৰ্ববৃহৎ অভ্যন্তৰীণ লোণীয়া হ্ৰদ গুজৰাটত অৱস্থিত।,D,"ভাৰতৰ সৰ্ববৃহৎ অভ্যন্তৰীণ লোণীয়া হ্ৰদ সাম্ভাৰ হ্ৰদ, যি ৰাজস্থানত অৱস্থিত। সেয়ে D ভুল।",Assam GK,Indian geography
"7. ৰাজনৈতিক দলক ৰাষ্ট্ৰীয় দল হিচাপে স্বীকৃতি দিয়াৰ এটা চৰ্ত অনুসৰি, কমেও কিমানখন ৰাজ্যত স্বীকৃত ৰাজ্যিক দল হ’ব লাগে?",এখন,চাৰিখন,পাঁচখন,তিনিখন,B,এই স্বীকৃতিৰ সংশ্লিষ্ট চৰ্ত অনুসৰি দলটোৱে কমেও ৪খন ৰাজ্যত স্বীকৃত ৰাজ্যিক দলৰ মৰ্যাদা লাভ কৰিব লাগে।,Assam GK,Election Commission and national parties
8. “স্বৰাজ মোৰ জন্মগত অধিকাৰ আৰু মই ইয়াক লাভ কৰিমেই” বুলি কোনে কৈছিল?,চন্দ্ৰশেখৰ আজাদ,বাল গংগাধৰ তিলক,গোপাল কৃষ্ণ গোখলে,ভগত সিং,B,এই বিখ্যাত উক্তিটো বাল গংগাধৰ তিলকৰ সৈতে জড়িত।,Assam GK,Indian freedom movement
9. আকবৰ আৰু হেমুৰ মাজত হোৱা দ্বিতীয় পানীপথৰ যুদ্ধ কোন চনত হৈছিল?,১৫২৬,১৫৩৬,১৫৫৬,১৫৭৬,C,দ্বিতীয় পানীপথৰ যুদ্ধ ১৫৫৬ চনত আকবৰ আৰু হেমুৰ মাজত হৈছিল।,Assam GK,Mughal history
10. ভাৰতৰ বিধানসভা নিৰ্বাচনত NOTA বিকল্প প্ৰথমবাৰৰ বাবে কেতিয়া প্ৰয়োগ কৰা হৈছিল?,"আগষ্ট, ২০১২","নৱেম্বৰ, ২০১৩","জানুৱাৰী, ২০১৫","অক্টোবৰ, ২০১৪",B,NOTA প্ৰথমবাৰৰ বাবে ২০১৩ চনৰ নৱেম্বৰ মাহত অনুষ্ঠিত বিধানসভা নিৰ্বাচনসমূহত প্ৰয়োগ কৰা হৈছিল।,Assam GK,NOTA and elections
