question_text,Option A,Option B,Option C,Option D,correct_option,explanation,subject,topic / subtopic tag
1. অলিম্পিকৰ পতাকাত কোনটো ৰং পোৱা নাযায়?,লাল,সেউজীয়া,বেঙুনীয়া,হালধীয়া,C,"অলিম্পিকৰ পতাকাত নীলা, হালধীয়া, ক’লা, সেউজীয়া আৰু ৰঙা ৰং আছে। বেঙুনীয়া ৰং নাই।",General Science,Olympic symbols / General Awareness
2. পেৰুৰ ৰাজধানী চহৰ কোনখন?,বগোটা,ছেণ্টিয়াগো,হাভানা,লিমা,D,পেৰু দক্ষিণ আমেৰিকাৰ দেশ আৰু ইয়াৰ ৰাজধানী লিমা।,Assam GK,World Geography
3. National Stock Exchange ক'ত অৱস্থিত?,মুম্বাই,কলকাতা,হায়দৰাবাদ,নতুন দিল্লী,A,National Stock Exchange (NSE)-ৰ মুখ্য কাৰ্যালয় মুম্বাইত।,Assam GK,Indian Economy / NSE
4. তলৰ কোনটো hardware component এটা কম্পিউটাৰৰ পৰা আন এটা কম্পিউটাৰলৈ file transfer কৰিবলৈ ব্যৱহাৰ কৰিব পাৰি?,BIOS,Hard Disk,CPU,USB Flash Drive,D,USB Flash Drive-এ data সংৰক্ষণ আৰু এটা কম্পিউটাৰৰ পৰা আন এটালৈ file transfer কৰিব পাৰে।,General Science,Computer Basics
5. উত্তৰ ভাৰতৰ Indo-Gangetic Plains আৰু দক্ষিণ ভাৰতৰ Deccan Plateau-ৰ মাজত কোনটো পৰ্বতমালা অৱস্থিত?,Karakoram Range,Satpura আৰু Vindhya Range,Aravalli Range,Pir Panjal Range,B,Satpura আৰু Vindhya পৰ্বতমালাই উত্তৰ ভাৰতৰ সমভূমি আৰু Deccan Plateau-ৰ মাজত ভৌগোলিক বিভাজন সৃষ্টি কৰে।,Assam GK,Indian Geography
6. তলৰ কোনখন নদীৰ উৎপত্তি হিমালয়ৰ পৰা নহয়?,Indus,Ganga,Yamuna,Narmada,D,Narmada নদীৰ উৎপত্তি Madhya Pradesh-ৰ Amarkantak মালভূমিৰ পৰা; ই হিমালয়ৰ নদী নহয়।,Assam GK,Indian Rivers
7. পানীৰ সৰ্বাধিক ঘনত্ব কোন তাপমাত্ৰাত হয়?,100°C,−40°C,0°C,4°C,D,পানীৰ anomalous expansion-ৰ বাবে 4°C-ত ইয়াৰ ঘনত্ব সৰ্বাধিক হয়।,General Science,Properties of Water
"8. ধন-সম্পদৰ উৎপাদন, বিতৰণ আৰু উপভোগ অধ্যয়ন কৰা সামাজিক বিজ্ঞানটো কি?",Commerce,Economics,Political Science,Sociology,B,"Economics-এ সম্পদৰ উৎপাদন, বিতৰণ আৰু উপভোগ অধ্যয়ন কৰে।",Assam GK,Economics
9. তলৰ কোনটো সাধাৰণতে radioactive পদাৰ্থ?,Plutonium,Germanium,Osmium,Cadmium,A,Plutonium এটা radioactive element; আনবোৰ সাধাৰণতে স্থিৰ।,General Science,Radioactivity
10. Volleyball-ত প্ৰতিটো দলৰ কিমানজন খেলুৱৈ court-ত থাকে?,5,7,6,8,C,Indoor volleyball-ত প্ৰতিটো দলৰ 6 জন খেলুৱৈ একে সময়তে court-ত থাকে।,Assam GK,Sports
11. অসমে ভাৰতৰ কিমানখন ৰাজ্যৰ সৈতে সীমা ভাগ কৰে?,9,7,8,10,B,"অসমে Arunachal Pradesh, Nagaland, Manipur, Mizoram, Tripura, Meghalaya আৰু West Bengal—মুঠ 7খন ৰাজ্যৰ সৈতে সীমা ভাগ কৰে।",Assam GK,Geography of Assam
12. 1 জানুৱাৰী 2022 তাৰিখে অসমৰ বিত্তমন্ত্ৰী কোন আছিল?,অজন্তা নেওগ,চন্দ্ৰ মোহন পাটোৱাৰী,হিমন্ত বিশ্ব শৰ্মা,পীযুষ হাজৰিকা,A,2022 চনৰ আৰম্ভণিতে অজন্তা নেওগ অসমৰ Finance Minister আছিল।,Assam GK,Assam Government
13. 31 মাৰ্চ 2022 তাৰিখে অসমত কিমানখন জিলা আছিল?,34,35,33,32,B,"2022 চনৰ 31 মাৰ্চত অসমত 35খন জিলা আছিল, ইয়াৰ ভিতৰত Bajali-ও আছিল।",Assam GK,Districts of Assam
14. তলৰ কোনখন দেশে অসমৰ সৈতে আন্তঃৰাষ্ট্ৰীয় সীমা ভাগ কৰে?,China,Nepal,Myanmar,Bhutan,D,অসমৰ উত্তৰ-পশ্চিম অংশৰ কাষত Bhutan-ৰ সৈতে আন্তঃৰাষ্ট্ৰীয় সীমা আছে।,Assam GK,Assam International Border
15. তলৰ কোনখন দলং আটাইতকৈ পূবত অৱস্থিত?,Naranarayan Setu,Saraighat Bridge,Bhupen Hazarika Setu,Koliabhomora Setu,C,Bhupen Hazarika Setu (Dhola–Sadiya Bridge) অসমৰ পূব প্ৰান্তৰ ফালে অৱস্থিত।,Assam GK,Bridges of Assam
16. তলৰ কোনখন নদী Barak Valley-ত অৱস্থিত?,Dikrong,Kushiyara,Boginadi,Bharalu,B,Kushiyara Barak নদী ব্যৱস্থাৰ অংশ আৰু Barak Valley-ৰ সৈতে জড়িত।,Assam GK,Rivers of Assam
17. অসমৰ State Tree কোনটো?,Hollong,Teak,Saal,Peepal,A,Hollong (Dipterocarpus macrocarpus) অসমৰ ৰাজ্যিক বৃক্ষ।,Assam GK,State Symbols of Assam
18. Poa Mecca আৰু Hayagriva Madhava Temple অসমৰ কোন ঠাইত অৱস্থিত?,Sivasagar,Tezpur,Dumunichowki,Hajo,D,Hayagriva Madhava Temple Hajo-ত অৱস্থিত; Hajo-ৰ সৈতে Poa Mecca-ও জড়িত।,Assam GK,Religious Places of Assam
19. Jorhat-ত থকা tea research institute-ৰ নাম কি?,Tarai,Tocklai,Tamoi,Tingrai,B,Tocklai Tea Research Institute Jorhat-ত অৱস্থিত।,Assam GK,Tea Industry of Assam
20. অসমীয়া ভাষাৰ প্ৰথম talkie চলচ্চিত্ৰখনৰ নাম কি?,Bhaiti,Baruar Sansaar,Joymoti,Indramalati,C,Joymoti (1935) প্ৰথম অসমীয়া talkie চলচ্চিত্ৰ হিচাপে স্বীকৃত।,Assam GK,Assamese Cinema
