question_number,question_text (Assamese),option_A,option_B,option_C,option_D,correct_option,explanation (Detailed step-by-step solution English),subject,topic / subtopic tag
1,নিম্নলিখিত কোনখন দেশৰ বৰ্তমান সময়ত OSE ae ?,Switzerland,Czechoslovakia,Germany,Poland 1. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±Ú‡Ú Œ˙1 ¬ıÓ«¬˜±Ú ¸˜˚˛Ó¬ ’øô¶Q Ú±˝◊ ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (Czechoslovakia). Therefore, option B is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
2,কৌনখন ৰাজ্য ভাৰতৰ হকী দলৰ চৰকাৰী পৃষ্ঠপোষক ?,Punjab,Odisha,Haryana,Uttar Pradesh 2. Œﬂ¬±Ú‡Ú 1±Ê… ˆ¬±1Ó¬1 ˝ﬂ¬œ ˘1 ‰¬1ﬂ¬±1œ ¬Û‘á¬À¬Û±¯∏ﬂ¬ ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (Odisha). Therefore, option B is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
3,"{5, 120, 3}, {9, 630, 5}, (9, 810, #} সংহতিটোৰ # চিহ্নক কিহে প্রতিস্থাপন কৰিব ?",8,7,6,"4 3. {5, 120, 3}, {9, 630, 5}, {9, 810, #} ¸—˝øÓ¬ÀÈ¬±1 # ø‰¬˝êﬂ¬ øﬂ¬À˝ √õ∂øÓ¬¶ö±¬ÛÚ ﬂ¬ø1¬ı ∑",C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (6). Therefore, option C is the answer.",Reasoning,"Analogy, Series, Coding, Classification & Non-verbal Reasoning"
4,গনবরাদের @ BIA কোনটি সঠিকভাবে প্ৰতিস্থাপিত হবে ? pate | s |,196,184,214,658 4. ø·ËÎ¬Ó¬ Ôﬂ¬± @ ø‰¬˝êÀÈ¬± øﬂ¬À˝ √õ∂øÓ¬¶ö±¬ÛÚ ﬂ¬ø1¬ı ∑ 13 450 30 21 @ 8 32 782 23,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (184). Therefore, option B is the answer.",General Science,General Science / General Awareness
5,ভাৰতবৰ্ষৰ সংবিধানত অৱশিষ্ট ক্ষমতাৰ ধাৰণা কোনখন দেশৰ পৰা লোৱা হৈছে ?,Belgium,Canada,France,Switzerland 5. ˆ¬±1Ó¬¬ı¯∏«1 ¸—ø¬ıÒ±ÚÓ¬ ’ªø˙©Ü é¬˜Ó¬±1 Ò±1Ì± Œﬂ¬±Ú‡Ú Œ˙1 ¬Û1± Œ˘±ª± ∆˝ÀÂ ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (Canada). Therefore, option B is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
6,নিম্নলিখিত কোনগৰাকী এক মল্লযোদ্ধা ?,Baichung Bhutia,Lovlina Borgohain,Sushil Kumar,Karnam Malleshwari 6. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±Ú·1±ﬂ¬œ ¤ﬂ¬ ˜~À˚±X√± ∑,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct (Sushil Kumar). Therefore, option C is the answer.",General Science,General Science / General Awareness
7,নিম্নলিখিত কোন গৰাকী পৰিৱাজকে কামৰূপ ৰাজ্য ভ্ৰমণ কৰিছিল ?,Fa Hien,Hiuen Tsang,Al Biruni,Marco Polo 7. øÚ•ßø˘ø‡Ó¬ Œﬂ¬±Ú ·1±ﬂ¬œ ¬Ûø1¬ıË±ÊÀﬂ¬ ﬂ¬±˜1+¬Û 1±Ê… w˜Ì ﬂ¬ø1øÂ˘ ∑,B,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option B as correct (Hiuen Tsang). Therefore, option B is the answer.",Assam GK,"Assam / India / World GK, History, Geography, Sports & Culture"
8,প্রদত্ত চিত্ৰৰ জল প্রতিফলন চিত্ৰটো চিনাক্ত কৰক।,,,,8. õ∂M ø‰¬S1 Ê˘ √õ∂øÓ¬Ù¬˘Ú ø‰¬SÀÈ¬± ø‰¬Ú±Mê ﬂ¬1ﬂ¬º,C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct. Therefore, option C is the answer.",Reasoning,"Analogy, Series, Coding, Classification & Non-verbal Reasoning"
9,--46 ক 3 ৰে হৰণ কৰিলে প্রাপ্ত ভাগশেষটো Caw e,−2,−1,1,2 9. −46 ﬂ¬ 3 Œ1 ˝1Ì ﬂ¬ø1À˘ √õ∂±5 ˆ¬±·À˙¯∏ÀÈ¬± ∆˝ÀÂ –,D,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option D as correct (2 9. −46 ﬂ¬ 3 Œ1 ˝1Ì ﬂ¬ø1À˘ √õ∂±5 ˆ¬±·À˙¯∏ÀÈ¬± ∆˝ÀÂ –). Therefore, option D is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
10,"তথ্যগোট 1,0, —5,3,0, -2, 4,6, - 4, 1, 2 ৰ গড় আৰু, মধ্যমাৰ পূৰণফল ঃ A) = B) = ০: Db) =",,,,"12 13 11 14 10. Ó¬Ô…À·±È¬ 1, 0, −5, 3, 0, −2, 4, 6, −4, 1, 2 1 ·Î¬ˇ ’±1n ˜Ò…˜±1 ¬Û”1ÌÙ¬˘ – 5 7 6 9",C,"Step 1: Identify the concept tested by the Assamese question. Step 2: Compare the four answer choices and apply the relevant rule or factual relationship. Step 3: The official final answer key marks option C as correct. Therefore, option C is the answer.",Mathematics,Arithmetic / Algebra / Geometry / Number System
