mock_id,question_no,section,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,marks
ADRE_G4_MOCK_03,1,General English,Choose the word closest in meaning to 'diligent'.,Lazy,Hard-working,Careless,Noisy,B,Hard-working,1
ADRE_G4_MOCK_03,2,General English,Choose the antonym of 'scarce'.,Rare,Limited,Abundant,Small,C,Abundant,1
ADRE_G4_MOCK_03,3,General English,Choose the correctly spelled word.,Accommodate,Acommodate,Accomodate,Accommadate,A,Accommodate,1
ADRE_G4_MOCK_03,4,General English,Choose the correct sentence.,Neither of the boys are ready.,Neither of the boys is ready.,Neither boys is ready.,Neither of boys are ready.,B,Neither of the boys is ready.,1
ADRE_G4_MOCK_03,5,General English,"Fill in the blank: If I ___ enough money, I would buy a car.",have,had,will have,am having,B,had,1
ADRE_G4_MOCK_03,6,General English,Choose the correct article: He is ___ European citizen.,a,an,the,no article,A,a,1
ADRE_G4_MOCK_03,7,General English,Choose the correct preposition: She has been absent ___ Monday.,for,since,from,by,B,since,1
ADRE_G4_MOCK_03,8,General English,Choose the passive voice of 'The police arrested the thief.',The thief arrested the police.,The thief was arrested by the police.,The thief is arrested by the police.,The police were arrested by the thief.,B,The thief was arrested by the police.,1
ADRE_G4_MOCK_03,9,General English,"Choose the correct indirect speech: He said, 'I am busy.'",He said that I am busy.,He said that he was busy.,He says he was busy.,He said that he is busy yesterday.,B,He said that he was busy.,1
ADRE_G4_MOCK_03,10,General English,The idiom 'a blessing in disguise' means:,A hidden benefit,A serious problem,A public celebration,A false promise,A,A hidden benefit,1
ADRE_G4_MOCK_03,11,General English,Choose the synonym of 'obsolete'.,Current,Outdated,Useful,Modern,B,Outdated,1
ADRE_G4_MOCK_03,12,General English,Choose the antonym of 'hostile'.,Aggressive,Friendly,Angry,Violent,B,Friendly,1
ADRE_G4_MOCK_03,13,General English,Identify the adverb: 'He completed the work quickly.',completed,work,quickly,he,C,quickly,1
ADRE_G4_MOCK_03,14,General English,"Choose the correct form: By next month, she ___ here for five years.",works,worked,will have worked,has work,C,will have worked,1
ADRE_G4_MOCK_03,15,General English,Choose the correct one-word substitution for 'one who knows many languages'.,Orator,Polyglot,Linguist only,Translator,B,Polyglot,1
ADRE_G4_MOCK_03,16,General English,Choose the correct spelling.,Entrepreneur,Enterpreneur,Entreprenuer,Entreprenur,A,Entrepreneur,1
ADRE_G4_MOCK_03,17,General English,Choose the correct conjunction: He stayed home ___ it was raining.,although,because,unless,while,B,because,1
ADRE_G4_MOCK_03,18,General English,Identify the figure of speech: 'The wind whispered through the trees.',Simile,Metaphor,Personification,Irony,C,Personification,1
ADRE_G4_MOCK_03,19,General English,Choose the correct sentence.,Hardly had he arrived when it started raining.,Hardly he had arrived when it started raining.,Hardly had he arrived than it started raining.,Hardly did he arrived when it started raining.,A,Hardly had he arrived when it started raining.,1
ADRE_G4_MOCK_03,20,General English,Choose the synonym of 'meticulous'.,Careless,Very careful,Rapid,Confused,B,Very careful,1
ADRE_G4_MOCK_03,21,General English,Choose the antonym of 'generous'.,Kind,Stingy,Helpful,Noble,B,Stingy,1
ADRE_G4_MOCK_03,22,General English,Fill in the blank: No sooner did the bell ring ___ the students left.,when,than,then,that,B,than,1
ADRE_G4_MOCK_03,23,General English,Choose the correct word: The medicine had a positive ___ on the patient.,affect,effect,affects,effected,B,effect,1
ADRE_G4_MOCK_03,24,General English,Choose the correct sentence.,Each of the players have a jersey.,Each of the players has a jersey.,Each players has a jersey.,Each player have jersey.,B,Each of the players has a jersey.,1
ADRE_G4_MOCK_03,25,General English,The phrase 'to cut corners' means:,To save time or money by doing something poorly,To cut paper,To turn around,To avoid a road,A,To save time or money by doing something poorly,1
ADRE_G4_MOCK_03,26,General Knowledge,The 'basic structure doctrine' of the Indian Constitution was established in:,Golaknath case,Kesavananda Bharati case,Minerva Mills case,Maneka Gandhi case,B,Kesavananda Bharati case,1
ADRE_G4_MOCK_03,27,General Knowledge,A Money Bill can be introduced only in:,Rajya Sabha,Lok Sabha,Either House,Joint sitting,B,Lok Sabha,1
ADRE_G4_MOCK_03,28,General Knowledge,The President's power to promulgate ordinances is under:,Article 72,Article 123,Article 143,Article 356,B,Article 123,1
ADRE_G4_MOCK_03,29,General Knowledge,The Finance Commission is constituted under:,Article 280,Article 324,Article 368,Article 370,A,Article 280,1
ADRE_G4_MOCK_03,30,General Knowledge,The 73rd Constitutional Amendment deals primarily with:,Municipalities,Panchayati Raj,Fundamental Rights,Emergency powers,B,Panchayati Raj,1
ADRE_G4_MOCK_03,31,General Knowledge,The voting age was reduced from 21 to 18 by the:,42nd Amendment,44th Amendment,61st Amendment,73rd Amendment,C,61st Amendment,1
ADRE_G4_MOCK_03,32,General Knowledge,The first session of the Indian National Congress was held in:,Calcutta,Bombay,Madras,Allahabad,B,Bombay,1
ADRE_G4_MOCK_03,33,General Knowledge,The Swadeshi Movement began in response to the:,Rowlatt Act,Partition of Bengal,Simon Commission,Quit India Movement,B,Partition of Bengal,1
