question_number,question_text (Assamese),option_A,option_B,option_C,option_D,correct_option,explanation (Detailed step-by-step solution English),subject,topic / subtopic tag
1,"1 লা জানুবাৰী, 2024 সাপেক্ষে অসম বিধানসভাৰ অধ্যক্ষ কোন ?",Hitendra Nath Goswami,Numal Momin,Biswajit Daimary,Rupsing Teron,C,"Step 1: Identify the concept tested in Question 1. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (Biswajit Daimary) as correct. Therefore, option C is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
2,নি্নলিখিত কোনটোৰ পৰা নগদ ধন উলিয়াব পাৰি ?,ATM,NEFT,UPI,IFSC,A,"Step 1: Identify the concept tested in Question 2. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (ATM) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
3,"টেক্সি চালক এজনে কার্যালয়ত যাত্রীসকলক গাড়ীত তুলি ছয় কিলোমিটাৰ পথ অতিক্রম কৰি ডাকঘৰ পালেগৈ, যন্ত তেওঁ বাওফালে ঘুবি আঠ কিলোমিটাৰ পথ অতিক্রম কৰি বিমান বন্দৰ পায়গৈ। কার্যযালয়ৰ পৰা বিমান বন্দবলৈ বৈথিক দূবত্ব কিমান ?",Ten kilometers,Twelve kilometers,Eight kilometers,Fourteen kilometers,A,"Step 1: Identify the concept tested in Question 3. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (Ten kilometers) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
4,"যদি ৰঘুৱে কয় যে তেওঁৰ মাতৃ হিমাদ্ৰীৰ মাতৃৰ একমাত্ৰ জীয়ৰী, তেন্তে হিমাদ্ৰী ৰঘুৰ সৈতে কি সম্বন্ধে সম্পর্কিত হ’ব ?",Brother,Maternal Uncle,Grandfather,Son,B,"Step 1: Identify the concept tested in Question 4. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (Maternal Uncle) as correct. Therefore, option B is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
9,1 ৰ পৰা 20 লৈ মৌলিক সংখ্যাসমূহৰ মুঠ গণনা £,7,9,8,10,C,"Step 1: Identify the concept tested in Question 9. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (8) as correct. Therefore, option C is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
11,কোনো এটা সংখ্যাক 11% বৃদ্ধি কৰিলে সংখ্যাটোৰ মান 777 হয়। সংখ্যাটো হৈছে ঃ,770,750,710,700,D,"Step 1: Identify the concept tested in Question 11. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option D (700) as correct. Therefore, option D is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
12,মোবেহ মেণিপুব) ভাৰতৰ সৈতে কোন দেশৰ স্থলপথ সংযোগী স্থল ?,Thailand,Nepal,Myanmar,Bhutan,C,"Step 1: Identify the concept tested in Question 12. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (Myanmar) as correct. Therefore, option C is the answer.",Driving / Motor Vehicles,"Road safety, licensing, traffic rules & vehicle regulations"
14,দুটা সংখ্যাৰ যোগফল 12 আৰ সংখ্যা দুটাৰ বর্গ পার্থক্য 60| সংখ্যা দুটাৰ পার্থক্য £,3,5,7,9,B,"Step 1: Identify the concept tested in Question 14. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option B (5) as correct. Therefore, option B is the answer.",Mathematics,Arithmetic / Number System / Geometry / Algebra
16,আহোম সাম্রাজ্য প্রথম বাজধানী ক'ত স্থাপিত হৈছিল ?,Rongpur,Garhgaon,Charaideo,Guwahati,C,"Step 1: Identify the concept tested in Question 16. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option C (Charaideo) as correct. Therefore, option C is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
17,নিন্ললিখিত সমূহৰ কোনটো বংশ প্রাচীন অসমৰ শাসক বংশ নাছিল ?,Maurya,Varman,Pala,Koch,A,"Step 1: Identify the concept tested in Question 17. Step 2: Apply the relevant rule, calculation, factual relationship, or language rule to the four choices. Step 3: The official final answer key marks option A (Maurya) as correct. Therefore, option A is the answer.",General Awareness,"India / Assam / World GK, History, Geography, Sports & Culture"
