"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","subject","topic / subtopic tag"
"Who is the first athlete from Assam to win a medal in the Summer Olympics ?","Hima Das","Lovlina Bargohain","Dipankar Bhattacharjee","Bhogeswar Baruah","Option B","Lovlina Bargohain won a bronze medal in boxing at the 2020 Tokyo Summer Olympics, becoming the first athlete from Assam to do so.[cite: 1]","Assam GK","Sports"
"The Rang Ghar was constructed during the reign of _______.","Swargadeo Rudra Singha","Swargadeo Shiva Singha","Swargadeo Rajeshwar Singha","Swargadeo Pramatta Singha","Option D","Rang Ghar was built by Swargadeo Pramatta Singha in 1744 AD.[cite: 1]","Assam GK","Ahom Kingdom"
"Where is Assam Women’s University located ?","Sibsagar","Dibrugarh","Jorhat","Lakhimpur","Option C","Assam Women's University is the first women's university in Assam, located in Jorhat.[cite: 1]","Assam GK","Education"
"Which state does Srirampur connect with Assam ?","Meghalaya","Arunachal Pradesh","Manipur","West Bengal","Option D","Srirampur is a border town in Assam that connects with West Bengal.[cite: 1]","Assam GK","Geography"
"Which of the following city has a sea port ?","Cochin","New Delhi","Kolkata","Bhopal","Option A","Cochin (Kochi) is a major port city on the south-west coast of India. Kolkata is a riverine port, while New Delhi and Bhopal are landlocked.[cite: 1]","General Knowledge","Geography"
"The currency of Japan is","Yuan","Yen","Dollar","Ruble","Option B","The Yen is the official currency of Japan.[cite: 1]","General Knowledge","World Currency"
"Which of the following is true about Pobitora ?","It is a town in Kokrajhar district.","It is a mountain peak in Karbi Anglong.","It is a lake near Dibrugarh.","It is a wildlife sanctuary in Morigaon district.","Option D","Pobitora Wildlife Sanctuary is situated in the Morigaon district of Assam and is known for its high density of one-horned rhinoceroses.[cite: 1]","Assam GK","Wildlife Sanctuaries"
"Which of the following bridges is near Guwahati ?","Bhupen Hazarika Setu","Saraighat Bridge","Naranarayan Setu","Koliabhomora Setu","Option B","Saraighat Bridge is the first rail-cum-road bridge over the Brahmaputra River in Guwahati.[cite: 1]","Assam GK","Infrastructure / Bridges"
"Which one amongst the following mobile theatre (Bhryamyaman) groups is the oldest ?","Kohinoor Theatre","Awahon Theatre","Natraj Theatre","Bhagyadevi Theatre","Option C","Natraj Theatre, formed by Achyut Lahkar in 1963, is considered the first mobile theatre group of Assam.[cite: 1]","Assam GK","Culture and Arts"
"Who composed the tune “O’ Mor Apunar Desh” ?","Kamala Prasad Agarwalla","Laxminath Bezbaruah","Bishnu Prasad Rabha","Parvati Prasad Baruah","Option A","The lyrics were written by Laxminath Bezbaroa, but the tune was composed by Kamala Prasad Agarwala.[cite: 1]","Assam GK","Culture and Arts"
"“Orunudoi”, the first Assamese language magazine was published from","Jorhat","Sibsagar","Naharkatiya","Kokrajhar","Option B","Orunodoi was printed by the Baptist Missionary Press in Sibsagar in 1846.[cite: 1]","Assam GK","Literature / History"
