mock_id,question_no,section,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,marks
ADRE_G3_MOCK_03,1,"General Knowledge, Social Studies & General Science",The 73rd Constitutional Amendment is primarily related to:,Municipalities,Panchayati Raj,Fundamental Duties,Emergency provisions,B,Panchayati Raj,1.5
ADRE_G3_MOCK_03,2,"General Knowledge, Social Studies & General Science",Which Schedule of the Constitution deals with allocation of seats in the Rajya Sabha?,Third,Fourth,Fifth,Sixth,B,Fourth,1.5
ADRE_G3_MOCK_03,3,"General Knowledge, Social Studies & General Science",The Finance Commission of India is constituted under:,Article 280,Article 324,Article 356,Article 370,A,Article 280,1.5
ADRE_G3_MOCK_03,4,"General Knowledge, Social Studies & General Science",Who founded the Servants of India Society?,Gopal Krishna Gokhale,Bal Gangadhar Tilak,Dadabhai Naoroji,Surendranath Banerjee,A,Gopal Krishna Gokhale,1.5
ADRE_G3_MOCK_03,5,"General Knowledge, Social Studies & General Science",The Cabinet Mission came to India in:,1942,1945,1946,1947,C,1946,1.5
ADRE_G3_MOCK_03,6,"General Knowledge, Social Studies & General Science",The first session of the Indian National Congress was held at:,Calcutta,Bombay,Madras,Allahabad,B,Bombay,1.5
ADRE_G3_MOCK_03,7,"General Knowledge, Social Studies & General Science",The Brahmaputra is known in Tibet as:,Tsangpo,Sutlej,Teesta,Dihang,A,Tsangpo,1.5
ADRE_G3_MOCK_03,8,"General Knowledge, Social Studies & General Science",Which tributary joins the Brahmaputra near Guwahati?,Manas,Subansiri,Dhansiri,Kopili,A,Manas,1.5
ADRE_G3_MOCK_03,9,"General Knowledge, Social Studies & General Science",The Barak Valley is mainly associated with which districts?,"Cachar, Hailakandi and Karimganj","Dibrugarh, Tinsukia and Sivasagar","Sonitpur, Lakhimpur and Dhemaji","Nagaon, Morigaon and Darrang",A,"Cachar, Hailakandi and Karimganj",1.5
ADRE_G3_MOCK_03,10,"General Knowledge, Social Studies & General Science",The Assam Accord was signed in:,1979,1983,1985,1990,C,1985,1.5
ADRE_G3_MOCK_03,11,"General Knowledge, Social Studies & General Science",The Assam Movement was primarily associated with the issue of:,Land reform,Illegal immigration,Forest conservation,Language standardisation,B,Illegal immigration,1.5
ADRE_G3_MOCK_03,12,"General Knowledge, Social Studies & General Science",Which Ahom ruler is associated with the conquest of the Chutia kingdom?,Sukaphaa,Suhungmung,Jayadhwaj Singha,Pramatta Singha,B,Suhungmung,1.5
ADRE_G3_MOCK_03,13,"General Knowledge, Social Studies & General Science",The Ahom administrative system included the:,Paik system,Ryotwari system,Zamindari system,Mahalwari system,A,Paik system,1.5
ADRE_G3_MOCK_03,14,"General Knowledge, Social Studies & General Science",Rang Ghar was primarily used as a:,Temple,Royal sports pavilion,Fort,Burial monument,B,Royal sports pavilion,1.5
ADRE_G3_MOCK_03,15,"General Knowledge, Social Studies & General Science",The Borphukan was an important Ahom:,Religious official,Military and administrative official,Revenue farmer,Village priest,B,Military and administrative official,1.5
ADRE_G3_MOCK_03,16,"General Knowledge, Social Studies & General Science",The Sattriya dance tradition originated in:,Assam,Odisha,Manipur,Bengal,A,Assam,1.5
ADRE_G3_MOCK_03,17,"General Knowledge, Social Studies & General Science",Which Assamese literary figure wrote 'Kirtan Ghoxa'?,Lakshminath Bezbaroa,Srimanta Sankardev,Madhavdev,Hemchandra Barua,B,Srimanta Sankardev,1.5
ADRE_G3_MOCK_03,18,"General Knowledge, Social Studies & General Science",The 'Hemkosh' is associated with:,Assamese lexicography,Assamese sculpture,Ahom military history,Bihu songs only,A,Assamese lexicography,1.5
ADRE_G3_MOCK_03,19,"General Knowledge, Social Studies & General Science",The Dehing Patkai landscape is especially noted for:,Desert ecosystem,Rainforest ecosystem,Alpine ecosystem,Mangrove ecosystem,B,Rainforest ecosystem,1.5
ADRE_G3_MOCK_03,20,"General Knowledge, Social Studies & General Science",Hoolock gibbon is the only:,Native ape of India,Native monkey of Assam,Large carnivore of Assam,Flying mammal of Assam,A,Native ape of India,1.5
ADRE_G3_MOCK_03,21,"General Knowledge, Social Studies & General Science",The Ramsar Convention concerns the conservation of:,Mountains,Wetlands,Deserts,Grasslands only,B,Wetlands,1.5
ADRE_G3_MOCK_03,22,"General Knowledge, Social Studies & General Science",Ozone in the stratosphere protects life from excessive:,Infrared radiation,Ultraviolet radiation,Radio waves,Microwaves,B,Ultraviolet radiation,1.5
ADRE_G3_MOCK_03,23,"General Knowledge, Social Studies & General Science",The greenhouse gas most directly associated with fossil-fuel combustion is:,Oxygen,Carbon dioxide,Nitrogen,Argon,B,Carbon dioxide,1.5
ADRE_G3_MOCK_03,24,"General Knowledge, Social Studies & General Science",The functional unit of the kidney is the:,Neuron,Nephron,Alveolus,Villus,B,Nephron,1.5
ADRE_G3_MOCK_03,25,"General Knowledge, Social Studies & General Science",Which enzyme begins protein digestion in the stomach?,Amylase,Pepsin,Lipase,Trypsin,B,Pepsin,1.5
ADRE_G3_MOCK_03,26,"General Knowledge, Social Studies & General Science",A vaccine primarily works by stimulating:,Digestion,Immune response,Blood pressure,Bone formation,B,Immune response,1.5
ADRE_G3_MOCK_03,27,"General Knowledge, Social Studies & General Science",The genetic material in most living organisms is:,RNA only,DNA,Protein,Lipid,B,DNA,1.5
