question_text (English & Assamese text if available),option_A,option_B,option_C,option_D,correct_option,explanation (Detailed step-by-step solution English),subject,topic / subtopic tag
"English: 1. Which of the following countries does Brazil not share international boundary with?
Assamese: নিম্নলিখিত কোনখন দেশৰ সৈতে ব্ৰাজিলে আন্তৰ্জাতিক সীমা স্পৰ্শ নকৰে?",Chile,Argentina,Paraguay,Peru,A,"Step 1: List Brazil's South American neighbours. Brazil borders every country in South America except Chile and Ecuador. Step 2: Among the options, Chile is therefore the country that does not share a land boundary with Brazil. Step 3: Correct option: A.",Assam GK,World Geography – Brazil's international boundaries
"English: 2. Who is considered as ‘the father of zero’ ?
Assamese: কৌোনগৰাকী ব্যাক্তক শূন্যৰ জনক ৰূপে বিবেচনা কৰা হয়?",Chitragupta,Brahmadutta,Varahamihira,Aryabhatta,D,Step 1: The question refers to the historical development of the numeral zero. Step 2: Aryabhatta is the figure identified by the question's answer key. Step 3: Correct option: D.,Assam GK,Indian Mathematics History – Zero
"English: 3. Between which two major water bodies does the Suez Canal lie?
Assamese: চূৱেজ খাল কোন দুটা প্ৰধান জলভাগৰ মাজত অৱস্থান কৰে?",Mediterranean Sea and Atlantic Ocean,Atlantic Ocean and Pacific Ocean,Mediterranean Sea and Red Sea,Arabian Sea and Bay of Bengal,C,Step 1: Locate the Suez Canal geographically. Step 2: It is the artificial waterway connecting the Mediterranean Sea with the Red Sea. Step 3: Correct option: C.,Assam GK,World Geography – Suez Canal
"English: 4. The Ajan Peer Dargah is located in which district of Assam?
Assamese: অসমৰ কোনখন জিলাত আজান পীৰৰ দৰগাহ অৱস্থিত ?",Dhemaji,Sivasagar,Jorhat,Dibrugarh,B,Step 1: Identify the location of the Ajan Peer Dargah in Assam. Step 2: It is located in Sivasagar district. Step 3: Correct option: B.,Assam GK,Assam GK – Ajan Peer Dargah
"English: 5. Who discovered Penicillin?
Assamese: পেনিচিলিন কোনে আৱিষ্কাৰ কৰিছিল ?",Edward Jenner,Alexander Fleming,Louis Pasteur,Isaac Newton,B,Step 1: Identify the scientist associated with the discovery of penicillin. Step 2: Alexander Fleming discovered penicillin in 1928. Step 3: Correct option: B.,General Science,General Science – Discovery of Penicillin
"English: 6. As on January 1, 2024, who is the Chairman and Managing Director of the Reliance Group?
Assamese: 2024 বৰ্ষৰ 1 জানুৱাৰী সাপেক্ষে ৰিলায়েন্স গ্ৰুপৰ অধ্যক্ষ আৰু পৰিচালন সঞ্চালক কোন?",Dhirubhai Ambani,Anil Ambani,Akash Ambani,Mukesh Ambani,D,"Step 1: Use the question's stated date, 1 January 2024. Step 2: The Chairman and Managing Director identified for the Reliance Group is Mukesh Ambani. Step 3: Correct option: D.",Assam GK,Current Affairs – Reliance Group
"English: 7. The 2024 Summer Olympics was held in
Assamese: 2024 বৰ্ষৰ গ্ৰীষ্মকালীন অলিম্পিক অনুষ্ঠিত হৈছিল",Tokyo,London,Paris,Seoul,C,"Step 1: Identify the host city of the 2024 Summer Olympics. Step 2: The Games were held in Paris, France. Step 3: Correct option: C.",Assam GK,Sports – 2024 Olympics
"English: 8. By which community of Assam is the Tusu Puja celebrated?
Assamese: ৪. টুছু পূজা অসমৰ কোন জনগোষ্ঠীয়ে পালন কৰে?",Tai-Ahom,Sonowal Kachari,Tea garden community,Karbi,C,Step 1: Identify the Assam community associated with Tusu Puja. Step 2: The paper identifies the Tea garden community. Step 3: Correct option: C.,Assam GK,Assam GK – Tusu Puja
"English: 9. Arjuna Award is awarded for excellence in
Assamese: কোন ক্ষেত্ৰত শ্ৰেষ্ঠত্ব প্ৰদৰ্শনৰ বাবে অৰ্জুন বঁটা প্রদান কৰা হয়?",sports,cinema,literature,tribal art,A,Step 1: The Arjuna Award recognises sporting achievement. Step 2: Therefore the relevant field is sports. Step 3: Correct option: A.,Assam GK,Sports & Awards – Arjuna Award
"English: 10. Leonardo da Vinci was from which country?
Assamese: লিওনাৰ্ভো দ্য ভিন্সি কোনখন দেশৰ আছিল ?",France,Germany,England,Italy,D,Step 1: Identify Leonardo da Vinci's country of origin. Step 2: He was an Italian Renaissance artist and polymath. Step 3: Correct option: D.,Assam GK,World History – Leonardo da Vinci
