Question No.,Question,Option A,Option B,Option C,Option D
1,Which colour is not present in the Olympic Flag ?,Red,Green,Purple,Yellow
2,The Capital City of Peru is,Bogota,Santiago,Havana,Lima
3,The National Stock Exchange is located in,Mumbai,Kolkata,Hyderabad,New Delhi
4,From the following list identify the hardware component that can be used to transfer files from one computer to another.,BIOS,Hard Disk,CPU,USB Flash Drive
5,The range which separates Indo-Gangetic Plains of Northern India from the Deccan Plateau of Southern India is,Karakoram Range,Satpura and Vindhya Range,Aravalli Range,Pir Panjal Range
6,"Amongst the following rivers, which one does not originate from the Himalayas ?",Indus,Ganga,Yamuna,Narmada
7,Water has maximum density at,100 ºC,–40 ºC,0 ºC,4 ºC
8,"Which social science studies the production, distribution and consumption of wealth ?",Commerce,Economics,Political Science,Sociology
9,Identify the normally radioactive material in the following list.,Plutonium,Germanium,Osmium,Cadmium
10,"In Volleyball, how many players per team are on the court ?",Five,Seven,Six,Eight
11,How many states of India shares border with Assam ?,Nine,Seven,Eight,Ten
12,"Who is the Finance Minister of Assam as on 01st of January, 2022 ?",Ajanta Neog,Chandra Mohan Patowary,Himanta Biswa Sarma,Pijush Hazarika
13,"As on 31st of March, 2022, how many districts are there in Assam ?",Thirty Four,Thirty Five,Thirty Three,Thirty Two
14,Which of the following countries share border with Assam ?,China,Nepal,Myanmar,Bhutan
15,"Amongst the following bridges, which one is at the Easternmost place ?",Naranarayan Setu,Saraighat Bridge,Bhupen Hazarika Setu,Koliabhomora Setu
16,Which of the following river is in the Barak Valley ?,Dikrong,Kushiyara,Boginadi,Bharalu
17,What is the State Tree of Assam ?,Hollong,Teak,Saal,Peepal
18,Poa Mecca and Hoygriv Madhab Temple is at which place of Assam ?,Sibsagar,Tezpur,Dumunichowki,Hajo
19,Name the tea research institute at Jorhat.,Tarai,Tocklai,Tamoi,Tingrai
20,Name the first talkie in Assamese.,Bhaiti,Baruar Sansaar,Joymoti,Indramalati
21,Swaraj Party was founded by :,Bhimrao Ambedkar and Sardar Vallabhbhai Patel,Aruna Asaf Ali and Subhash Chandra Bose,Bhagat Singh and Rajguru,Motilal Nehru and Chittaranjan Das
22,"Which article of Indian Constitution prohibits discrimination on the grounds of religion, race, caste, sex and place of birth ?",Article 25,Article 13,Article 15,Article 19
23,"The Gol Gumbad (Gumbaz), the mausoleum of Muhammad Adil Shah, is located in :",Bijapur,Delhi,Hyderabad,Bhopal
24,"What does 'A' stand for in 'UDAN', the initiative of the Ministry of Civil Aviation of India ?",Aam,Air,Aakash,Aviation
25,Which company became the first Indian company to hit the ` 10 Lakh Crore market valuations ?,Airtel,TCS,Wipro,Reliance
26,Which of the following pairs is INCORRECT with reference to the dance forms and their native states ?,Yakshagana – Tamil Nadu,Sattriya – Assam,Mohiniattam – Kerala,Odissi – Odisha
27,The only Ramsar site wetland in Assam is the :,Deepor beel,Bordoloni,Chandubi beel,Dibru-Saikhowa
