"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","subject","topic_tag"
"Which word is the antonym of ""Arrival""?","Conquer","Enemy","Departure","Welcome","C","The word 'Arrival' means reaching a destination, whereas 'Departure' means leaving or setting off. Thus, 'Departure' is the exact antonym of 'Arrival'.","English","Antonyms"
"Choose the correct punctuation mark for the sentence: ""Have you seen my school bag""","{.}","{;}","{?}","{!}","C","The sentence asks a direct question, so it requires a question mark '{?}' at the end.","English","Punctuation"
"Identify the appropriate collective noun for bees.","herd","swarm","group","bunch","B","A collective noun used specifically to refer to a group of bees is a 'swarm'.","English","Collective Nouns"
"What does ""hang up the boots"" mean?","Place the boots for cleaning","Kill someone by hanging","Retire from active life","Peace after a war","C","The idiom 'hang up one's boots' is commonly used in sports and work to mean retiring from active participation or service.","English","Idioms & Phrases"
"Identify the synonym of ""Accurate"".","Total","Pedigree","Sincere","Correct","D","'Accurate' means correct in all details, exact, or free from error. Therefore, 'Correct' is its closest synonym.","English","Synonyms"
"Which is the correct spelling for an annual day-date list?","Calandar","Calendar","Callendar","Calender","B","The standard and correct English spelling for a chart showing days, weeks, and months of a year is 'Calendar'.","English","Spelling"
"Fill in the blank: Yasmin __________ on paying the bill for her whole group.","requested","promised","suggested","insisted","D","The verb 'insist' is followed by the preposition 'on' when expressing a firm demand (e.g., 'insisted on paying').","English","Fill in the Blanks"
"Which word in the following list is a Verb?","Run","Black","Faster","Human","A","'Run' is an action word representing a physical activity, making it a verb. 'Black' is an adjective, 'Faster' is an adjective/adverb, and 'Human' is a noun/adjective.","English","Parts of Speech"
"Which single word would mean the same as underlined portion of ""The vaccine made the person resistant to infection from Covid-19 Virus"".","Immune","Healthy","Doctor","Medicine","A","Being 'resistant to infection' means having protection or resistance to a disease, which is defined by the word 'Immune'.","English","One Word Substitution"
"Identify the preposition in: The man is sleeping on a cot.","on","man","is","the","A","'on' is a preposition showing the physical spatial relationship between 'sleeping' and 'a cot'.","English","Prepositions"
"Which kingdom of India had influence extended to Southeast Asian region? (ˆ¬±1Ó¬¬ı¯∏«1 Œfl¬±Ú‡Ú ¸±•⁄±Ê…1 √õ∂ˆ¬±ª øé¬Ì-¬Û”¬ı ¤øÂ˚˛± ’=˘Õ˘ ø¬ıô¶‘Ó¬ ∆˝øÂ˘ ?)","Chauhan","Rajput","Gupta","Chola","D","The Chola Dynasty (especially under Rajendra Chola I) expanded its maritime influence, conquest, and culture deep into Southeast Asia.","Assam GK","Indian History - Dynasties"
"Which of the following Muslim commanders did Mula Gabharu fight with? (øÚ•ßø˘ø‡Ó¬ Œfl¬±ÚÊÚ ˜≈Â˘˜±Ú Œ¸Ú±¬ÛøÓ¬1 ø¬ı¬ÛÀé¬ ˜”˘± ·±ˆ¬1nÀª ˚≈X√ fl¬ø1øÂ˘ ?)","Mir Quasim","Turbak","Iltutmish","Abeidullah","B","Mula Gabharu fought against the Turko-Afghan invader Turbak Khan to avenge her husband Phrasengmung Borgohain's death during the Ahom-Mughal conflicts.","Assam GK","History of Assam"
