mock_id,question_no,section,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,marks
ADRE_G3_MOCK_02,1,"General Knowledge, Social Studies & General Science",Which Article of the Constitution of India guarantees equality before the law?,Article 14,Article 19,Article 21,Article 32,A,Article 14,1.5
ADRE_G3_MOCK_02,2,"General Knowledge, Social Studies & General Science",The Directive Principles of State Policy are contained in which Part of the Constitution?,Part II,Part III,Part IV,Part V,C,Part IV,1.5
ADRE_G3_MOCK_02,3,"General Knowledge, Social Studies & General Science",Who was the first Governor-General of independent India?,Lord Mountbatten,C. Rajagopalachari,Jawaharlal Nehru,Rajendra Prasad,A,Lord Mountbatten,1.5
ADRE_G3_MOCK_02,4,"General Knowledge, Social Studies & General Science",The Quit India Movement was launched in:,1930,1942,1946,1947,B,1942,1.5
ADRE_G3_MOCK_02,5,"General Knowledge, Social Studies & General Science",The Battle of Plassey was fought in:,1757,1764,1773,1784,A,1757,1.5
ADRE_G3_MOCK_02,6,"General Knowledge, Social Studies & General Science",The Permanent Settlement was introduced by:,Lord Wellesley,Lord Cornwallis,Lord Curzon,Lord Dalhousie,B,Lord Cornwallis,1.5
ADRE_G3_MOCK_02,7,"General Knowledge, Social Studies & General Science",The Tropic of Cancer passes through which state of India?,Kerala,Assam,Rajasthan,Tamil Nadu,C,Rajasthan,1.5
ADRE_G3_MOCK_02,8,"General Knowledge, Social Studies & General Science",Which river is known as the 'Sorrow of Bihar'?,Ganga,Kosi,Yamuna,Narmada,B,Kosi,1.5
ADRE_G3_MOCK_02,9,"General Knowledge, Social Studies & General Science",The largest state in India by area is:,Madhya Pradesh,Maharashtra,Rajasthan,Uttar Pradesh,C,Rajasthan,1.5
ADRE_G3_MOCK_02,10,"General Knowledge, Social Studies & General Science",The headquarters of the North Eastern Council is at:,Dispur,Shillong,Guwahati,Imphal,B,Shillong,1.5
