"question_text","Option A","Option B","Option C","Option D","correct_option","explanation","subject","topic / subtopic tag"
"Which city will host the 2024 Summer Olympics ?","Paris","London","Amsterdam","Zurich","Option A","The 2024 Summer Olympics, officially known as the Games of the XXXIII Olympiad, were scheduled to be held in Paris, France[cite: 1].","General Knowledge","Current Affairs / Sports"
"Manila is the capital city of","Malaysia","Philippines","Indonesia","Thailand","Option B","Manila is the capital city of the Philippines, located in the western Pacific Ocean[cite: 1].","General Knowledge","World Geography / Capitals"
"Lotus temple is situated in","Kolkata","New Delhi","Mumbai","Bhopal","Option B","The Lotus Temple, known for its flowerlike shape, is a Bahá'í House of Worship situated in New Delhi, India[cite: 1].","General Knowledge","Indian Geography / Monuments"
"Which of the following is a output device for a computer ?","Mouse","Speaker","Microphone","Keyboard","Option B","A speaker is an output device that converts digital audio signals into sound. Mouse, microphone, and keyboard are input devices[cite: 1].","General Science","Computer Knowledge"
"Which of the following mountain range is geologically considered the oldest ?","Pir Panjal Range","Vindhya Range","Aravalli Range","Western Ghats","Option C","The Aravalli Range in northwestern India is considered the oldest fold mountain system in India and one of the oldest in the world[cite: 1].","General Knowledge","Indian Geography"
"Which one amongst the following is the southernmost river in India ?","Cauvery","Godavari","Narmada","Mahanadi","Option A","Among the given options, the Cauvery (Kaveri) river flows through the southernmost part of India (Karnataka and Tamil Nadu)[cite: 1].","General Knowledge","Indian Geography / Rivers"
"In which part do plants produce their food ?","Roots","Leaf","Trunk","Bark","Option B","Plants produce their food primarily in their leaves through the process of photosynthesis, utilizing sunlight, water, and carbon dioxide[cite: 1].","General Science","Biology"
"An adult human being has a normal body temperature in the range of","36.1 °F – 37.2 °F","36.1 °C – 37.1 °C","97 °C – 99 °C","48 °F – 51 °F","Option B","The normal body temperature for a typical adult human ranges between 36.1 °C and 37.2 °C (which translates to about 97 °F to 99 °F)[cite: 1].","General Science","Biology"
"Which of the following geometric shapes does not have parallel sides ?","Rhombus","Square","Pentagon","Parallelogram","Option C","A regular pentagon has five sides and no two sides are parallel to each other. Rhombus, square, and parallelogram all have pairs of parallel sides[cite: 1].","Mathematics","Geometry"
"Which of the following is not an Olympics Swimming Event ?","Butterfly","Backstroke","Breaststroke","Breakstroke","Option D","'Breakstroke' is not a recognized swimming stroke. The standard Olympic swimming strokes are freestyle, backstroke, breaststroke, and butterfly[cite: 1].","General Knowledge","Sports"
"Which of the following birds builds its nest in tree hollows ?","Hornbill","Egret","Vulture","Eagle","Option A","Hornbills are known to build their nests inside naturally occurring hollows in large trees, where the female seals herself in during incubation[cite: 1].","General Knowledge","Environment / Zoology"
"Which of the following is the National Animal of India ?","One Horned Rhino","Royal Bengal Tiger","Asian Elephant","Nilgai","Option B","The Royal Bengal Tiger is the national animal of India, chosen for its strength, agility, and power[cite: 1].","General Knowledge","Indian Polity / National Symbols"
"Who is considered as the Iron Man of India ?","Mahatma Gandhi","Subhash Chandra Bose","B.R. Ambedkar","Sardar Vallabhbhai Patel","Option D","Sardar Vallabhbhai Patel is known as the 'Iron Man of India' for his uncompromising commitment to national integration and uniting the princely states[cite: 1].","General Knowledge","Indian History / Personalities"
"Who is known as the Missile Man of India ?","Homi Jahangir Bhabha","Kailasavadivoo Sivan","A.P.J. Abdul Kalam","J.R.D. Tata","Option C","Dr. A.P.J. Abdul Kalam is known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology[cite: 1].","General Knowledge","Indian History / Personalities"
"Which amongst the following is the largest unit of computer storage ?","Gigabyte","Terabyte","Megabyte","Kilobyte","Option B","Among the given options, Terabyte (TB) is the largest. 1 TB = 1024 Gigabytes (GB), 1 GB = 1024 Megabytes (MB), and 1 MB = 1024 Kilobytes (KB)[cite: 1].","General Science","Computer Knowledge"
"On every Independence Day of India, the Prime Minister addresses the nation from :","Red Fort","Rashtrapati Bhavan","Parliament House","India Gate","Option A","It is a tradition for the Prime Minister of India to hoist the national flag and address the nation from the ramparts of the Red Fort in Delhi on Independence Day[cite: 1].","General Knowledge","Indian Polity / Monuments"
"The First album by Zubeen Garg was","Anamika","Mayabini","Maya","Aasha","Option A","'Anamika' was the debut Assamese album of Zubeen Garg, released in 1992, which became a massive hit[cite: 1].","Assam GK","Art & Culture"
"Rajatarangini was written by :","Shudraka","Jayadeva","Banabhatta","Kalhana","Option D","Rajatarangini, a historical chronicle of the north-western Indian subcontinent, particularly the kings of Kashmir, was written by Kalhana in Sanskrit[cite: 1].","General Knowledge","Indian History / Books & Authors"
"Which of the following is the name of the optical telescope in space ?","XMM-Newton","Galileo probe","Hubble Space Telescope","Edison Telescope","Option C","The Hubble Space Telescope is a large space-based optical telescope that was launched into low Earth orbit in 1990[cite: 1].","General Science","Astronomy / Space"
"The battle of Saraighat was fought between Lachit Borphukan and","Mir Jumla","Turbak","Ram Singh","Bakhtiyar Khilji","Option C","The Battle of Saraighat (1671) was fought between the Ahom Kingdom, led by Lachit Borphukan, and the Mughal Empire, led by Ram Singh I[cite: 1].","Assam GK","Assam History / Ahom Kingdom"
"Who among the following initiated Din-i-Ilahi ?","Aurangzeb","Babur","Shah Jahan","Akbar","Option D","Din-i-Ilahi was a syncretic religion or spiritual leadership program propounded by the Mughal emperor Akbar in 1582 to merge elements of the faiths of his empire[cite: 1].","General Knowledge","Indian History / Mughal Empire"
"Which of the following is NOT a Union Territory ?","Puducherry","Ladakh","Kodaikanal","Chandigarh","Option C","Kodaikanal is a hill station in the state of Tamil Nadu, not a Union Territory. Puducherry, Ladakh, and Chandigarh are Union Territories[cite: 1].","General Knowledge","Indian Geography"
"The Treaty of Yandaboo was signed between :","British and Burmese","Burmese and Ahom","Ahom and British","British and Chinese","Option A","The Treaty of Yandaboo (1826) was a peace treaty signed between the East India Company and the King of Ava (Burmese), ending the First Anglo-Burmese War[cite: 1].","Assam GK","Assam History"
"'Abhigyan Shakuntalam', a Sanskrit play was written by :","Panini","Kalhan","Asvaghosa","Kalidasa","Option D","Abhigyan Shakuntalam is a famous ancient Indian Sanskrit play written by the great poet and playwright Kalidasa[cite: 1].","General Knowledge","Indian History / Books & Authors"
"The special characteristic of the annual Jon Beel Mela is :","It remains open round the clock","Women are not permitted to enter","Barter system","The exclusive trading of livestock","Option C","Jonbeel Mela is a traditional fair held in Assam where communities from hills and plains gather to exchange goods strictly through a barter system[cite: 1].","Assam GK","Art & Culture / Festivals"
"The state bird of Assam is","Cuckoo","Hornbill","Peacock","White winged wood duck","Option D","The White-winged wood duck (Deohah in Assamese) is the official state bird of Assam[cite: 1].","Assam GK","State Symbols"
