question_text (English & Assamese text if available),option_A,option_B,option_C,option_D,correct_option,explanation (Detailed step-by-step solution English),subject,topic / subtopic tag
"English: 1. What was the last capital of Ahom Kingdom?
Assamese: আহোম সাম্ৰাজ্যৰ শেষৰটো ৰাজধানী কি আছিল?",Charaideo,Jorhat,Rangpur,Garhgaon,B,"Step 1: Identify the fact or concept asked in the question. Step 2: Jorhat became the Ahom kingdom's last capital before the kingdom ended in 1826; earlier capitals included Charaideo, Garhgaon and Rangpur. Step 3: Therefore the correct option is B.",Assam/World History,"History – Ahom, Sankardeva, World War II"
"English: 2. What was the name of Srimanta Sankardeva’s grandmother?
Assamese: শ্ৰীমন্ত শংকৰদেৱৰ বুঢ়ী আইতাকৰ নাম কি আছিল?",Aidew Aita,Jakoimoti,Kherxuti,Soirindhri,C,Step 1: Identify the fact or concept asked in the question. Step 2: Kherxuti is identified as Srimanta Sankardeva's grandmother in the official keyed answer (option C). Step 3: Therefore the correct option is C.,Assam/World History,"History – Ahom, Sankardeva, World War II"
"English: 3. Who was known as the ‘Lion of Mysore’ ?
Assamese: মহীশূৰৰ সিংহ’ৰূপে কোন জনাজাত আছিল?",Adil Shah,Hyder Ali,Krishnaraja Wodeyar,Tipu Sultan,D,"Step 1: Identify the fact or concept asked in the question. Step 2: Tipu Sultan, ruler of the Kingdom of Mysore, is commonly associated with the title 'Tiger of Mysore'; the keyed option is Tipu Sultan. Step 3: Therefore the correct option is D.",Assam/World History,"History – Ahom, Sankardeva, World War II"
"English: 4. Which State of India has Jallianwala Bagh?
Assamese: ভাৰতবৰ্ষৰ কোনটো ৰাজ্যত জালিয়ানৱালাবাগ স্থিত?",Punjab,Haryana,Rajasthan,Uttar Pradesh,A,"Step 1: Identify the fact or concept asked in the question. Step 2: Jallianwala Bagh is in Amritsar, Punjab, the site of the 1919 massacre. Step 3: Therefore the correct option is A.",Assam/World History,"History – Ahom, Sankardeva, World War II"
"English: 5. Which of the following countries was a part of the Axis Group during the World War II?
Assamese: দ্বিতীয় বিশ্বযুদ্ধৰ সময়ত নিম্নলিখিত কোনখন দেশ অক্ষ গোটৰ অংশীদাৰ আছিল?",England,Japan,France,Soviet Union,B,"Step 1: Identify the fact or concept asked in the question. Step 2: Japan was one of the principal Axis powers in World War II, alongside Germany and Italy. Step 3: Therefore the correct option is B.",Assam/World History,"History – Ahom, Sankardeva, World War II"
"English: 6. The ruins of Angkor Wat are in which country?
Assamese: আংকৰ ৱাটৰ ধ্বংসাৱশেষসমূহ কোনটো দেশৰ?",New Zealand,Indonesia,Vietnam,Cambodia,D,Step 1: Identify the fact or concept asked in the question. Step 2: Angkor Wat is the famous temple complex at Siem Reap in Cambodia. Step 3: Therefore the correct option is D.,Assam/World History,"History – Ahom, Sankardeva, World War II"
"English: 7. Which of the following countries does Assam share international borders with?
Assamese: নিম্নলিখিত কোনবোৰ দেশৰ সৈতে অসমে আন্তৰ্জাতিক সীমান্তৰেখা স্পৰ্শ কৰে?",Bhutan and China,China and Bangladesh,Bangladesh and Bhutan,Myanmar and Bangladesh,C,Step 1: Identify the fact or concept asked in the question. Step 2: Assam shares international borders with Bhutan and Bangladesh. Step 3: Therefore the correct option is C.,Geography,"World & Indian Geography – borders, directions, landforms"
"English: 8. If an airplane is flying directly from Chennai towards Guwahati, in which direction is it flying?
Assamese: যদি এখন বিমান চেন্নাইৰ পৰা গুৱাহাটীলৈ পোনে পোনে উৰি আহি আছে, তেন্তে বিমানখন কোনটো দিশলৈ উৰি আছে?",From South to East,From East to West,From West to East,From North to East,A,"Step 1: Identify the fact or concept asked in the question. Step 2: Chennai lies southeast of Guwahati, so travelling from Chennai directly toward Guwahati is broadly from south toward east/northeast; the keyed option is South to East. Step 3: Therefore the correct option is A.",Geography,"World & Indian Geography – borders, directions, landforms"
"English: 9. What is the Westernmost State of India?
Assamese: ভাৰতৰ আটাইতকৈ পশ্চিমত থকা ৰাজ্য কোনখন?",Rajasthan,Punjab,Maharashtra,Gujarat,D,"Step 1: Identify the fact or concept asked in the question. Step 2: Gujarat contains India's westernmost mainland point, so it is the westernmost state. Step 3: Therefore the correct option is D.",Geography,"World & Indian Geography – borders, directions, landforms"
"English: 10. Which of the following peaks does not belong to the Himalayas?
Assamese: নিম্নলিখিত কোনটো শৃংগ হিমালয়ৰ অন্তৰ্গত নহয়?",Annapurna,Kangto,Anamudi,Kamet,C,"Step 1: Identify the fact or concept asked in the question. Step 2: Anamudi is in Kerala's Western Ghats, not the Himalayas. Step 3: Therefore the correct option is C.",Geography,"World & Indian Geography – borders, directions, landforms"
